"m.z" "r.t" "p.value" "t.score"
216.06872 8.046 0.0000157586 -1.4953993791
157.14146 7.82 0.0000157586 -0.6058869486
191.99763 10.928 0.0000157586 -0.9022821904
294.14084 3.52 0.0000157586 0.4147006196
155.15427 5.154 0.0000157586 0.3019305335
340.13251 6.956 0.0000245263 0.3760953407
508.01346 5.713 0.0000245263 -0.8770825468
277.08920 2.364 0.0000304909 -0.3105114191
297.09353 5.148 0.0000467965 -0.5428142385
289.22728 9.974 0.0000577723 -0.6466871596
289.15454 10.891 0.0000874397 -1.4468692324
251.17527 9.996 0.0001071995 -0.2185948014
379.14947 11.1 0.0001071995 0.5766504557
309.12663 11.904 0.0001071995 -0.1640057846
253.09279 5.964 0.0001311206 -1.0295365195
325.17107 10.465 0.0001311206 -1.6609172633
273.15962 10.88 0.0001948114 -1.0465151248
233.09932 6.804 0.0001948114 -0.7511927994
263.12129 11.682 0.0002366365 -1.5204984843
115.07521 4.193 0.0002366365 -0.2554998503
133.08570 7.047 0.0002867791 -0.5542868681
207.14907 8.611 0.0002867791 -0.2348267204
445.07303 5.714 0.0003467472 -0.4180739990
340.26912 12.54 0.0004182916 -0.8937610356
317.14938 10.984 0.0004182916 -0.2289306046
572.35541 12.497 0.0004182916 -2.0745444759
229.05791 5.313 0.0005034396 -0.2556351270
178.08624 9.139 0.0005034396 1.0015429542
185.11830 12.558 0.0005034396 0.2184209395
387.28674 11.884 0.0005034396 -0.1101123178
305.14947 10.889 0.0006045313 -0.3368932167
243.13377 10.443 0.0006045313 -0.3937967952
165.04176 12.772 0.0007242603 0.1790853994
272.13379 2.368 0.0008657177 -0.8211576581
117.09095 7.027 0.0010324405 -0.0485737732
390.87042 6.254 0.0012284633 -28.7656194066
311.15530 10.615 0.0010324405 -0.4706945524
564.35886 10.759 0.0012284633 -0.0274323114
278.17495 7.936 0.0010324405 0.0352471281
264.12424 11.817 0.0012284633 -1.2545941942
489.16273 12.42 0.0012284633 -1.0606107375
147.05113 9.687 0.0012284633 -0.1728303333
253.05434 6.017 0.0012284633 -0.2898740080
321.89751 4.849 0.0012284633 -0.5727013901
245.12827 10.024 0.0012284633 -0.1514393492
196.09662 9.84 0.0014583751 -0.0809842612
335.19002 11.609 0.0014583751 -0.3159346387
229.56251 1.002 0.0014583751 0.5488380167
465.12645 12.602 0.0014583751 -26.7742370162
377.91489 4.919 0.0017273789 -0.3073314447
569.26508 11.514 0.0017273789 -0.2498349332
286.20103 9.535 0.0020413563 -0.6692786092
360.99793 9.63 0.0020413563 -31.1528419388
191.06606 11.966 0.0020413563 -0.2334225788
291.20673 10.714 0.0020413563 -1.8113366650
382.34265 11.093 0.0020413563 -0.3815592349
335.22869 10.076 0.0024069349 -0.1096652369
182.08107 8.577 0.0024069349 -0.6409986315
520.33185 10.388 0.0024069349 -0.0314610121
690.50885 12.897 0.0024069349 -0.3265219418
172.09674 10.106 0.0028315604 -0.0992933333
344.20657 10.379 0.0028315604 -0.2032869679
268.15443 8.687 0.0033235705 -24.6583390492
297.04541 6.041 0.0033235705 0.5968129985
209.94902 5.841 0.0033235705 0.4600444614
165.06909 3.268 0.0033235705 -0.3796487404
158.08099 7.879 0.0033235705 -0.0856125902
160.84199 11.608 0.0033235705 -0.2843099740
209.03017 5.657 0.0033235705 -2.2753633702
421.20414 10.379 0.0038922722 -0.5959204787
174.14874 8.541 0.0038922722 -27.4778224094
174.04068 9.047 0.0038922722 -0.3408248438
177.10207 3.9 0.0038922722 0.4301770445
261.14835 12.903 0.0038922722 -1.6079445469
261.21717 11.699 0.0045480215 -0.2873719107
331.95245 4.82 0.0045480215 -0.2744145382
219.13381 10.095 0.0053023035 -0.1154571071
221.15347 12.88 0.0053023035 -27.2651010282
111.02003 12.66 0.0053023035 -31.4211505178
356.24314 11.873 0.0053023035 -0.0329878716
172.09669 9.97 0.0061678141 -0.0790630358
209.09206 9.067 0.0061678141 -0.0687734782
379.19346 9.538 0.0061678141 -0.8767000252
575.39459 12.631 0.0061678141 -0.3528052114
289.06943 3.383 0.0071585404 -0.0701799806
186.11234 2.243 0.0071585404 -0.1392533592
