"m.z" "r.t" "p.value" "t.score"
245.16055 5.096 0.0000000001 -0.1792694783
348.10080 8.211 0.0000000001 -2.3354609603
506.20748 7.308 0.0000000001 28.0637229491
297.09353 5.148 0.0000000001 25.9001580880
202.01221 0.86 0.0000000001 0.2760159363
291.20673 10.714 0.0000000001 26.8119278491
295.07913 5.605 0.0000000001 0.2426265592
220.98079 11.494 0.0000000001 -0.4834723839
229.05791 5.313 0.0000000001 0.2742290459
116.92850 12.983 0.0000000001 29.2630769161
604.13812 8.48 0.0000000001 27.9996827809
279.11602 12.082 0.0000000001 0.9564851156
118.05098 0.862 0.0000000001 0.3538237996
288.00378 4.675 0.0000000001 0.0000000000
261.18080 11.062 0.0000000001 27.9244805865
264.12424 11.817 0.0000000001 0.0000000000
324.99643 2.073 0.0000000001 0.5530576383
326.23230 10.263 0.0000000001 -1.0310829365
346.08652 8.44 0.0000000001 -0.5088293168
464.08922 11.123 0.0000000001 -0.2999928293
253.05434 6.017 0.0000000001 0.6581432645
307.11092 12.054 0.0000000001 -0.4428157173
174.14874 8.541 0.0000000002 -2.2113250883
307.11091 10.806 0.0000000002 -0.0958308893
168.07661 2.356 0.0000000003 0.0000000000
305.09646 11.916 0.0000000003 -0.1160475242
287.07730 9.604 0.0000000004 0.4659907074
170.11762 6.354 0.0000000004 0.0884083810
289.15454 10.891 0.0000000005 2.2407071137
242.13058 8.916 0.0000000005 -28.4344993188
371.17238 10.818 0.0000000005 0.5830499435
343.12322 5.46 0.0000000005 1.8164907602
187.08647 12.053 0.0000000006 0.3972303689
275.21163 9.852 0.0000000006 4.8147430890
279.11598 10.313 0.0000000007 -0.1019429370
263.12129 11.682 0.0000000012 0.0000000000
191.99763 10.928 0.0000000016 0.6832808412
289.22728 9.974 0.0000000018 1.4662820402
186.11247 5.226 0.0000000021 0.1103066373
290.13862 11.042 0.0000000025 -1.1536554378
155.15427 5.154 0.0000000026 -0.1818724295
160.13313 0.929 0.0000000027 -0.2838785390
450.01277 1.949 0.0000000040 0.4176969390
290.13863 10.97 0.0000000043 -0.7148704511
219.13381 10.095 0.0000000057 6.0780691789
172.07175 9.946 0.0000000057 0.0913303478
321.89751 4.849 0.0000000073 1.3211984793
207.14907 8.611 0.0000000079 0.2918514949
333.09137 11.511 0.0000000078 -0.1369870327
119.52785 7.619 0.0000000107 -0.2496100722
101.01674 5.642 0.0000000104 0.8272416536
335.22869 10.076 0.0000000104 1.1924488312
154.12262 4.195 0.0000000107 0.0853125598
162.07700 0.889 0.0000000103 -0.4771042112
445.81506 12.734 0.0000000110 -25.7070856509
206.10339 0.808 0.0000000113 -0.3325081315
276.10116 7.893 0.0000000172 2.1692496576
305.22233 11.03 0.0000000172 0.3755273469
158.11745 10.092 0.0000000167 0.8978141307
176.12800 11.055 0.0000000182 1.1054558464
172.09674 10.106 0.0000000230 1.1362270534
572.35541 12.497 0.0000000230 1.0597957165
233.10721 6.699 0.0000000230 -0.1379693022
309.12663 11.904 0.0000000244 0.2360037011
