"m.z" "r.t" "p.value" "t.score"
348.10080 8.211 0.0000000001 -27.7354853157
295.07913 5.605 0.0000000001 0.2044915362
264.12424 11.817 0.0000000001 29.0764269461
263.12129 11.682 0.0000000001 31.7056931850
297.09353 5.148 0.0000000001 1.3075265077
101.01674 5.642 0.0000000001 0.6811242559
343.12322 5.46 0.0000000001 0.9969055183
291.20673 10.714 0.0000000001 2.3453689740
261.18080 11.062 0.0000000001 1.9207914815
116.92850 12.983 0.0000000001 1.1319898555
279.11602 12.082 0.0000000001 0.5284683655
253.05434 6.017 0.0000000001 0.4161831648
174.14874 8.541 0.0000000001 -2.8382484913
289.15454 10.891 0.0000000001 0.8826423748
321.89751 4.849 0.0000000001 0.6033363722
275.21163 9.852 0.0000000001 1.0218586320
191.99763 10.928 0.0000000001 0.4328996431
326.23230 10.263 0.0000000001 -1.4480923644
307.11092 12.054 0.0000000001 -0.5418903877
305.22233 11.03 0.0000000001 0.3265222121
464.08922 11.123 0.0000000002 -0.3720575702
242.13058 8.916 0.0000000002 -28.1123995116
174.12357 5.985 0.0000000002 0.2858007097
289.22728 9.974 0.0000000004 0.6432654017
229.05791 5.313 0.0000000003 0.1927967279
365.10535 5.437 0.0000000005 0.5352321157
506.20748 7.308 0.0000000005 1.1287537333
307.11093 11.428 0.0000000007 0.1389813512
604.13812 8.48 0.0000000009 1.0155663041
371.17238 10.818 0.0000000013 0.4092238660
187.08647 12.053 0.0000000014 0.2809501194
207.14907 8.611 0.0000000017 0.2211918246
176.12800 11.055 0.0000000044 0.6645693473
288.00378 4.675 0.0000000061 3.2689474085
276.10116 7.893 0.0000000072 0.7722505296
287.07730 9.604 0.0000000108 0.3984723705
273.15962 10.88 0.0000000115 0.5881223777
445.81506 12.734 0.0000000154 0.0000000000
119.52785 7.619 0.0000000170 -0.2826162637
335.19002 11.609 0.0000000200 0.3552403164
220.98079 11.494 0.0000000224 -0.6183511462
450.01277 1.949 0.0000000228 0.3960153951
155.15427 5.154 0.0000000286 -0.1577738942
377.91489 4.919 0.0000000282 0.2521231198
219.13381 10.095 0.0000000295 1.1176485997
172.09674 10.106 0.0000000346 0.8887019396
691.06024 9.046 0.0000000378 0.2137690593
360.02505 8.292 0.0000000393 -0.1089817006
440.22751 8.348 0.0000000406 0.3338022156
160.84199 11.608 0.0000000431 0.1292488802
346.08652 8.44 0.0000000558 -0.3599964649
144.06298 0.713 0.0000000612 -0.1046396830
279.11598 10.313 0.0000000694 -0.1009694611
158.11745 10.092 0.0000000836 0.7670130810
307.11091 10.806 0.0000000890 -0.0854309172
219.07628 10.787 0.0000001007 -0.2385696016
245.16055 5.096 0.0000001211 -0.1837468562
139.03992 10.477 0.0000001232 0.1661606487
266.06696 10.05 0.0000001354 -1.2488805291
335.22869 10.076 0.0000001369 0.8113264143
428.05961 8.554 0.0000001500 1.1701983485
647.41104 12.469 0.0000001455 -0.1541886009
290.13863 10.97 0.0000001500 -0.7515868556
253.09279 5.964 0.0000001441 0.2392826566
508.01346 5.713 0.0000001847 0.1169848339
170.11762 6.354 0.0000002032 0.0651420673
490.28535 11.201 0.0000002158 0.5341420188
285.97708 9.15 0.0000002362 0.2167513229
290.13862 11.042 0.0000002584 -1.3173819392
387.28674 11.884 0.0000002670 -0.0883648363
186.11247 5.226 0.0000003584 0.0688402366
233.16465 9.864 0.0000004154 0.2088168169
226.09353 10.051 0.0000004672 0.0673374941
209.03017 5.657 0.0000005342 1.9600813271
172.09669 9.97 0.0000005902 0.5273907536
344.22784 9.107 0.0000006439 -0.0051955467
146.05992 10.774 0.0000006628 -0.1626246438
256.01510 9.976 0.0000006823 -0.1740748492
154.12262 4.195 0.0000007228 0.0754438886
309.12663 11.904 0.0000007228 0.1967482069
221.15347 12.88 0.0000008111 -0.3408498821
302.01938 5.534 0.0000009097 0.2968105499
206.02797 12.026 0.0000009355 0.2560127895
321.89737 5.269 0.0000010210 0.1104441242
111.52172 12.498 0.0000010198 -0.3771434786
305.09646 11.916 0.0000010511 -0.1228864939
255.09499 7.907 0.0000010795 0.1707230953
324.99643 2.073 0.0000011804 0.3787508675
307.24774 12.579 0.0000013163 -0.1713497276
172.07175 9.946 0.0000013539 0.0754188716
432.27996 10.695 0.0000013539 -27.8958319842
270.08905 11.955 0.0000014324 -0.1100583571
99.51218 7.619 0.0000015152 -0.0642696616
480.00681 6.217 0.0000016026 0.2544188905
416.35181 10.38 0.0000016026 -0.1059876176
289.06771 9.654 0.0000016197 -0.6794906669
572.35541 12.497 0.0000019483 0.7862562930
165.06909 3.268 0.0000021769 -0.0733778355
793.36499 8.806 0.0000021769 0.2422497982
250.17998 6.152 0.0000021769 -0.0610995598
333.09137 11.511 0.0000022140 -0.1450242219
328.16675 10.866 0.0000024093 0.1125013791
414.33618 10.38 0.0000024311 -0.1710276982
237.08701 10.015 0.0000026403 -0.1076855917
174.04068 9.047 0.0000030147 0.4457340647
344.22801 9.105 0.0000038667 -0.0023505258
212.11807 9.798 0.0000038667 0.3912708366
239.12775 12.444 0.0000039726 -0.1189976073
617.28564 8.799 0.0000044247 0.1959017451
211.10753 8.605 0.0000046689 0.2028507356
706.32819 8.954 0.0000047957 1.5974843165
407.18846 10.548 0.0000049259 0.5121514779
323.19003 11.58 0.0000050595 0.3173336349
281.07666 10.459 0.0000057809 -0.2176859392
226.08222 7.649 0.0000059365 0.0381737029
317.14938 10.984 0.0000064279 0.1103079565
111.08028 10.089 0.0000069581 0.2612823701
269.08932 8.607 0.0000071439 -0.2052733918
302.01923 4.916 0.0000073345 0.3334225215
167.08539 12.572 0.0000083626 -0.3433277445
260.16772 11.756 0.0000090441 -0.2125605675
282.11969 8.251 0.0000090441 0.0087225428
294.20617 9.687 0.0000095276 -0.0669933179
196.09662 9.84 0.0000097785 0.0829984133
237.08688 10.308 0.0000097785 -0.2690498827
235.12873 7.948 0.0000105696 0.2218443819
208.09662 10.549 0.0000114217 0.1352077487
233.10721 6.699 0.0000117200 -0.1508378521
333.11538 10.392 0.0000120257 1.5054643298
255.13494 9.538 0.0000140412 0.3292762762
412.19637 8.44 0.0000140262 -0.0940580752
331.09246 10.166 0.0000143890 -0.1060003482
237.12318 6.91 0.0000163417 -0.0566891093
168.07661 2.356 0.0000171914 1.0312689618
384.12233 6.947 0.0000176318 -0.0806602997
189.08795 4.9 0.0000181987 1.8317352862
417.30441 12.205 0.0000185452 -0.3910839699
305.14947 10.889 0.0000185452 0.1525471960
207.12252 10.344 0.0000190187 0.4323205094
213.12320 2.188 0.0000195036 0.1903068519
278.19036 9.315 0.0000200003 -0.0700218305
250.18018 7.42 0.0000200003 -0.0642286736
445.07303 5.714 0.0000217807 0.0969339384
349.08928 10.373 0.0000226699 0.2281458845
259.09244 5.411 0.0000232430 0.2660571171
345.07263 11.048 0.0000253760 0.2612881534
196.14204 0.68 0.0000269822 -0.0621087349
