"m.z" "r.t" "p.value" "t.score"
291.20673 10.714 0.0000000004 1.1830424094
288.00378 4.675 0.0000000006 1.2722547116
253.05434 6.017 0.0000000007 0.3435512735
275.21163 9.852 0.0000000003 0.6972412501
233.16465 9.864 0.0000000004 0.1940866258
289.22728 9.974 0.0000000002 0.4297204035
191.99763 10.928 0.0000000009 0.3200081323
272.20084 10.484 0.0000000010 0.0889419526
207.14907 8.611 0.0000000012 0.2003426463
207.12252 10.344 0.0000000012 0.3761486804
264.12424 11.817 0.0000000018 4.1758899344
264.19561 6.634 0.0000000018 0.2077965963
297.09353 5.148 0.0000000019 0.7499916799
269.08780 10.595 0.0000000021 0.1443372757
279.11602 12.082 0.0000000026 0.4034937890
172.09669 9.97 0.0000000025 0.3157541566
229.05791 5.313 0.0000000026 0.1811301503
276.10116 7.893 0.0000000036 0.6864955158
101.01674 5.642 0.0000000034 0.4221407160
440.22751 8.348 0.0000000043 0.2810333985
111.08028 10.089 0.0000000045 0.1985081610
251.17527 9.996 0.0000000047 0.1279517200
263.12129 11.682 0.0000000050 3.7949779726
604.13812 8.48 0.0000000062 0.6955783089
289.15454 10.891 0.0000000069 0.5901538753
371.17238 10.818 0.0000000070 0.2758890381
208.09662 10.549 0.0000000076 0.1494574101
295.07913 5.605 0.0000000078 0.1415509954
317.14938 10.984 0.0000000085 0.1142075271
191.10249 10.256 0.0000000089 0.1926552143
349.24438 10.041 0.0000000104 0.1012860802
226.09353 10.051 0.0000000110 0.0926487925
273.15962 10.88 0.0000000104 0.4833809324
172.09674 10.106 0.0000000099 0.4328562545
261.18080 11.062 0.0000000110 1.1475281807
176.12800 11.055 0.0000000116 0.4684123405
572.35541 12.497 0.0000000143 1.0397113392
287.10956 8.45 0.0000000143 0.1452603646
245.12827 10.024 0.0000000135 0.0829359410
349.08928 10.373 0.0000000150 0.2234293894
335.22869 10.076 0.0000000150 0.4277496661
158.11745 10.092 0.0000000158 0.4478895846
706.32819 8.954 0.0000000194 0.9576563443
233.09932 6.804 0.0000000194 0.2699601710
196.09662 9.84 0.0000000194 0.0919302209
344.20657 10.379 0.0000000194 0.1664866901
187.08647 12.053 0.0000000204 0.2476306181
324.99643 2.073 0.0000000202 0.3845425230
219.13381 10.095 0.0000000251 0.6532500782
116.92850 12.983 0.0000000263 0.6091632828
328.16675 10.866 0.0000000379 0.1132111143
128.04530 10.421 0.0000000415 0.0798995323
168.07661 2.356 0.0000000415 1.1349490545
139.03992 10.477 0.0000000490 0.1261792733
159.05110 3.693 0.0000000507 0.4289501558
305.14947 10.889 0.0000000560 0.1612116733
305.22233 11.03 0.0000000560 0.1882782230
186.11234 2.243 0.0000000588 0.5667747696
207.07621 8.806 0.0000000588 0.5245144989
617.28564 8.799 0.0000000649 0.2481148891
172.07175 9.946 0.0000000682 0.0864705845
793.36499 8.806 0.0000000962 0.3481261668
242.98246 7.374 0.0000000962 0.3994241495
302.01938 5.534 0.0000001010 0.5571583514
363.16229 10.301 0.0000001010 0.2369260306
147.05113 9.687 0.0000001113 0.1217977043
343.12322 5.46 0.0000001287 0.3612788114
261.14835 12.903 0.0000001287 0.6289380430
307.16514 10.397 0.0000001561 0.2728248705
286.20099 9.676 0.0000001718 0.2988714442
445.81506 12.734 0.0000001802 0.0000000000
793.36467 9.087 0.0000001890 0.4840316277
439.28392 12.663 0.0000001982 0.4262966329
256.16943 9.741 0.0000001982 0.1296966402
309.12663 11.904 0.0000002895 0.1531565067
114.09122 5.331 0.0000002895 0.2502061518
161.09203 4.717 0.0000003492 0.3066879705
348.10080 8.211 0.0000003659 -26.7635106592
506.20748 7.308 0.0000003833 0.5538117442
91.05396 10.004 0.0000004207 0.0710024596
346.08652 8.44 0.0000004530 -0.5142749796
188.06636 9.702 0.0000004834 0.0959380850
217.11826 7.86 0.0000005062 0.2491180439
272.13379 2.368 0.0000006084 0.1772183547
259.09244 5.411 0.0000006084 0.3859984707
263.17526 10.779 0.0000006369 0.2179749135
480.15680 12.825 0.0000006667 0.4436546180
286.20103 9.535 0.0000007303 0.2731353567
738.44891 12.651 0.0000007303 0.2180504208
705.32528 9.119 0.0000007643 0.4622031873
345.07263 11.048 0.0000007612 0.2220543426
174.04068 9.047 0.0000007976 0.4301486400
302.01923 4.916 0.0000009161 0.4682925777
209.03017 5.657 0.0000009607 1.3737628074
365.10535 5.437 0.0000010025 0.4367076869
640.16271 9.119 0.0000010967 0.2504095096
255.09499 7.907 0.0000011469 0.1300111224
393.11557 10.785 0.0000011469 0.1567871779
119.08140 9.653 0.0000011994 0.1984178388
756.24129 8.822 0.0000013113 0.2163756403
407.18846 10.548 0.0000013709 0.3817642770
705.32525 9.166 0.0000013709 0.4621801272
691.06024 9.046 0.0000014533 0.1686192357
422.92822 10.675 0.0000014982 0.2516881536
450.01277 1.949 0.0000017106 0.2944374909
311.15530 10.615 0.0000017876 0.0607217756
242.98224 6.978 0.0000018679 0.4056810708
370.07339 6.623 0.0000018679 0.1173988837
242.13058 8.916 0.0000019517 -28.0640867394
216.06872 8.046 0.0000019517 0.1143205440
286.17993 9.975 0.0000019517 0.0731380473
291.20654 9.885 0.0000019517 0.0546237170
230.08427 9.943 0.0000020391 0.0583956476
178.09029 4.179 0.0000021303 0.1324653173
186.11247 5.226 0.0000021303 0.0783207649
177.08678 6.573 0.0000022253 0.1079845292
229.11827 0.988 0.0000026480 0.4448282473
321.89751 4.849 0.0000027312 0.4177485814
437.21277 12.146 0.0000031471 0.1358179770
174.12357 5.985 0.0000032853 0.2622813159
128.04539 9.945 0.0000032853 0.0844269562
480.00681 6.217 0.0000034293 0.2734953140
370.07357 5.901 0.0000034293 0.3323974079
307.11085 12.348 0.0000035794 0.1573448094
219.12255 11.03 0.0000035794 0.0000000000
203.04007 4.18 0.0000038986 0.3266604544
272.16433 10.137 0.0000038986 0.1447675121
307.11092 12.054 0.0000038986 -0.4768697663
170.11762 6.354 0.0000038986 0.0593893845
243.13377 10.443 0.0000044291 0.2821978028
206.02797 12.026 0.0000046325 0.1747407188
361.18300 10.229 0.0000046208 0.3973927501
451.21470 10.875 0.0000048205 0.1501332040
204.12289 1.12 0.0000048205 0.2568829908
113.03080 1.937 0.0000048205 0.7332644683
305.06317 10.048 0.0000050284 0.0731715862
113.03078 1.938 0.0000052449 0.6973115361
276.00377 4.139 0.0000052449 0.1445162666
247.18027 8.894 0.0000054702 0.1650194908
103.04006 2.128 0.0000055105 0.6009332158
317.14536 3.942 0.0000062034 0.2327299175
694.92303 12.344 0.0000064680 0.1258557544
557.34613 12.217 0.0000067434 0.0804164094
434.21735 8.685 0.0000070300 0.0765673301
322.12982 12.527 0.0000070300 0.1765704003
235.12873 7.948 0.0000079614 0.1711640109
242.98245 7.562 0.0000086466 0.2599143341
276.14394 5.173 0.0000090100 0.3585839728
202.01221 0.86 0.0000092043 0.1867333239
133.08570 7.047 0.0000093880 0.2324522841
177.10193 10.234 0.0000093880 0.0790293027
449.30468 12.874 0.0000097811 0.1768270631
170.15375 8.756 0.0000110570 0.0479848278
154.12262 4.195 0.0000110570 0.0661071585
