"m.z" "r.t" "p.value" "t.score"
450.01277 1.949 0.0000305176 0.1347153952
289.22728 9.974 0.0000305176 0.1347262511
207.12252 10.344 0.0000305176 0.1284118438
263.12129 11.682 0.0000305176 1.1216396059
335.22869 10.076 0.0000305176 0.1513407393
793.36467 9.087 0.0000305176 0.5313144414
111.08028 10.089 0.0000305176 0.0693369636
297.09353 5.148 0.0000305176 0.2039940504
264.19561 6.634 0.0000305176 0.0750195805
101.01674 5.642 0.0000305176 0.1037704755
188.06636 9.702 0.0000305176 0.0480341233
261.18080 11.062 0.0000305176 0.2371150807
291.20673 10.714 0.0000305176 0.3356069808
172.09669 9.97 0.0000305176 0.1213183434
219.13381 10.095 0.0000305176 0.2131970899
370.07339 6.623 0.0000305176 0.0447258266
264.12424 11.817 0.0000305176 0.6389915470
289.15454 10.891 0.0000305176 0.2277795405
233.16465 9.864 0.0000305176 0.0701460370
275.21163 9.852 0.0000305176 0.2774710616
172.09674 10.106 0.0000305176 0.1502048679
255.09499 7.907 0.0000305176 0.0453511674
133.08570 7.047 0.0000305176 0.0853384428
520.33185 10.388 0.0000305176 -0.0039502204
245.16055 5.096 0.0000610352 -0.0628682436
328.16675 10.866 0.0000610352 0.0479082444
206.02797 12.026 0.0000610352 0.0594624134
346.08652 8.44 0.0000610352 -0.4980583835
158.11745 10.092 0.0000610352 0.1431734059
295.07913 5.605 0.0000610352 0.0713859725
348.10080 8.211 0.0000610352 0.0000000000
371.17238 10.818 0.0000610352 0.1193607916
251.17527 9.996 0.0000915527 0.0479051189
139.03992 10.477 0.0001220703 0.0785120539
549.21370 9.63 0.0001220703 -0.4893346345
172.07175 9.946 0.0001525879 0.0352473046
170.11762 6.354 0.0001525879 0.0190124053
279.11602 12.082 0.0001525879 0.1444415584
356.24314 11.873 0.0001525879 0.0054963473
261.14835 12.903 0.0001525879 0.3556903531
116.92850 12.983 0.0001831055 0.2034205149
285.97708 9.15 0.0001831055 0.1435049987
273.15962 10.88 0.0002136230 0.1639611131
349.24438 10.041 0.0002136230 0.0321600021
266.06696 10.05 0.0003051758 -1.2658921154
176.12800 11.055 0.0003051758 0.1407323257
307.11092 12.054 0.0004272461 -0.2320952314
437.21277 12.146 0.0004272461 0.0518436154
305.09646 11.916 0.0004272461 -0.0339793487
296.95007 11.91 0.0004272461 -0.3260240062
259.09244 5.411 0.0004272461 0.3101677080
208.09662 10.549 0.0005798340 0.0718508292
141.01566 3.755 0.0005798340 0.0420481835
147.05113 9.687 0.0005798340 0.0699836115
321.89751 4.849 0.0006103516 0.1545496024
333.09137 11.511 0.0006103516 -0.0417118725
174.14874 8.541 0.0007629395 -0.5642569363
71.01366 1.245 0.0008544922 -0.2815746794
480.85041 0.749 0.0010070801 0.0173670892
322.12982 12.527 0.0010070801 0.0895345137
151.06264 11.301 0.0010070801 0.0778165525
187.08647 12.053 0.0010070801 0.0991889242
214.08938 9.197 0.0010070801 0.0566353658
149.04539 1.234 0.0011596680 -0.1567213936
281.02414 3.841 0.0013122559 0.0196948907
233.09932 6.804 0.0013122559 0.0901941337
255.13494 9.538 0.0015258789 0.4646480013
389.16269 10.288 0.0016784668 0.0528537177
276.14394 5.173 0.0016784668 0.2417346630
412.30566 11.373 0.0016784668 0.1098422529
419.14191 9.659 0.0020141602 -0.3568696560
247.18027 8.894 0.0021362305 0.0997182145
507.57935 0.991 0.0021362305 -0.2174940645
177.10207 3.9 0.0026855469 0.0151752573
427.09502 6.181 0.0026855469 0.1311997294
255.04659 1.162 0.0026855469 0.2342762086
235.12873 7.948 0.0026855469 0.0577977783
158.08099 7.879 0.0026855469 0.0337997235
314.18103 9.232 0.0026855469 -0.0421949529
87.04396 1.983 0.0026855469 0.2978779926
269.08780 10.595 0.0033569336 0.0784124563
440.22751 8.348 0.0033569336 0.1341088734
160.84199 11.608 0.0033569336 0.0560417456
315.04161 9.833 0.0033569336 -0.0852992661
705.32525 9.166 0.0033569336 1.3719249829
154.12262 4.195 0.0033569336 0.0273906689
239.01644 1.016 0.0042724609 0.1182312800
257.11322 8.472 0.0041809082 0.0096868145
239.01650 0.999 0.0042724609 0.1220726059
315.04162 10.418 0.0042724609 -0.0537804861
119.52785 7.619 0.0041809082 -0.0941798729
203.05259 1.204 0.0041809082 -0.1828197203
276.00377 4.139 0.0041809082 0.2188922089
128.04539 9.945 0.0041809082 0.0551507046
118.05098 0.862 0.0042724609 0.2005957440
476.30655 10.048 0.0051574707 -0.0009229311
290.13862 11.042 0.0051574707 -0.2082893743
307.11085 12.348 0.0051574707 0.0859304973
617.28564 8.799 0.0051574707 0.1581191449
300.20181 8.715 0.0051574707 0.0015279710
286.20099 9.676 0.0051574707 0.1074715810
453.18585 12.336 0.0051574707 0.0684625696
286.20103 9.535 0.0051574707 0.1059318536
209.03017 5.657 0.0053710938 0.5981322243
569.26508 11.514 0.0053710938 -0.0471595643
388.25410 9.464 0.0062866211 -0.0025276890
191.99763 10.928 0.0062866211 0.0680832679
738.44891 12.651 0.0062866211 0.3749907813
290.13863 10.97 0.0062866211 -0.1624824779
604.13812 8.48 0.0062866211 0.3228064677
288.00378 4.675 0.0062866211 0.8554701755
314.18103 9.221 0.0062866211 -0.0340742501
287.10956 8.45 0.0062866211 0.0481545633
272.16433 10.137 0.0062866211 0.0415137139
131.08252 0.985 0.0067138672 0.2434729440
435.19839 11.83 0.0067138672 0.0212254497
257.02774 4.803 0.0067138672 0.0000000000
324.09111 12.039 0.0067138672 0.0277172915
263.17526 10.779 0.0076293945 0.0672712811
793.36499 8.806 0.0076293945 0.3728961282
233.10721 6.699 0.0076293945 -0.0266348199
189.04672 0.935 0.0076293945 0.6288608931
250.03838 8.012 0.0076293945 0.0212059520
253.05434 6.017 0.0076293945 0.1095896887
446.29603 10.761 0.0076293945 0.0350695777
691.06024 9.046 0.0083618164 0.4981949248
180.05942 1.204 0.0083618164 -0.2192073073
164.95691 2.482 0.0083618164 0.1456042338
231.07733 11.943 0.0083618164 0.0219078395
217.06176 9.907 0.0083618164 0.2171501623
253.09279 5.964 0.0083618164 0.0568332659
101.02426 1.2 0.0083618164 -0.1820340479
370.07357 5.901 0.0091857910 0.1953980750
276.00379 4.592 0.0091857910 0.2123095802
277.08920 2.364 0.0091857910 0.0190518626
108.04423 11.408 0.0091857910 0.1110711486
379.19346 9.538 0.0091857910 0.0570752989
705.32528 9.119 0.0091857910 1.2175123271
158.09236 9.95 0.0091857910 0.0660804027
229.05791 5.313 0.0102539062 0.0623599998
143.03485 0.992 0.0102539062 -0.1434968165
201.02649 10.16 0.0102539062 -0.2557961365
225.06165 1.205 0.0102539062 -0.1794084987
143.03486 0.991 0.0102539062 -0.1434968165
143.03486 0.991 0.0102539062 -0.1434968165
310.21667 9.245 0.0109863281 0.0080931941
128.04530 10.421 0.0109863281 0.0306399023
144.06298 0.713 0.0109863281 -0.0227082881
376.21774 9.262 0.0109863281 0.0451917465
216.06872 8.046 0.0130920410 0.0248257751
396.31046 11.517 0.0130920410 0.1636732053
168.07661 2.356 0.0130920410 0.7784567517
272.13379 2.368 0.0130920410 0.1040764016
88.07559 0.78 0.0130920410 -0.4573065097
191.98266 0.935 0.0130920410 0.1889308896
220.98079 11.494 0.0124511719 -2.3227975185
191.10249 10.256 0.0130920410 0.1270508088
289.06771 9.654 0.0124511719 -26.8536569428
582.15788 10.23 0.0130920410 0.2404135178
564.35886 10.759 0.0155029297 0.0015952746
91.05396 10.004 0.0155029297 0.0456141132
201.03806 1.449 0.0150756836 -0.2198091054
88.03921 2.029 0.0155029297 0.1791347426
203.05251 1.003 0.0155029297 -0.2235985011
176.06577 1.113 0.0155029297 0.2840583894
272.20084 10.484 0.0155029297 0.0433638672
230.08427 9.943 0.0155029297 0.0450811195
344.22784 9.107 0.0155029297 -0.0010640627
332.24300 9.924 0.0155029297 0.2584684138
582.15729 9.277 0.0155029297 0.2557901374
388.25419 9.449 0.0155029297 -0.0009344010
104.07053 0.875 0.0155029297 0.1768146673
480.00681 6.217 0.0155029297 0.0995031365
307.11093 11.428 0.0155029297 0.0639486766
203.05260 0.997 0.0155029297 -0.2235985011
306.08103 11.419 0.0182495117 0.0845694521
256.16943 9.741 0.0182495117 0.0668034242
508.01346 5.713 0.0180664062 0.0487188682
171.02739 2.092 0.0180664062 0.2865931458
145.07600 10.718 0.0182495117 0.0200467608
321.89737 5.269 0.0180664062 0.0332413671
706.32819 8.954 0.0182495117 0.7162564986
101.02432 0.988 0.0180664062 -0.0794356373
113.03080 1.937 0.0182495117 0.3521634836
377.91489 4.919 0.0180664062 0.0860669666
296.20090 9.244 0.0182495117 0.0395158462
308.20093 9.228 0.0182495117 0.1433238528
161.04543 0.992 0.0180664062 -0.0737856429
342.26364 10.588 0.0182495117 0.6395184852
307.11091 10.806 0.0182495117 -0.0285673710
572.35541 12.497 0.0182495117 0.5141364130
174.08828 0.997 0.0180664062 0.3372354894
344.22801 9.105 0.0182495117 -0.0004948461
178.09029 4.179 0.0182495117 0.1397910747
245.12827 10.024 0.0182495117 0.0388084261
551.22772 8.55 0.0213928223 0.3575515194
207.14907 8.611 0.0213928223 0.1149670352
131.08129 8.998 0.0213928223 0.1617858291
186.11247 5.226 0.0213928223 0.0405472698
398.32649 11.304 0.0213928223 0.5618339360
207.07621 8.806 0.0213928223 0.3465062838
314.18100 9.212 0.0213928223 -0.0302714261
153.06584 9.4 0.0213928223 0.0173530338
445.81506 12.734 0.0213928223 0.0000000000
182.10223 1.084 0.0213928223 0.1191493537
246.16996 5.941 0.0213928223 0.1024294158
317.05572 7.921 0.0213928223 0.1505861717
317.14938 10.984 0.0213928223 0.0316453082
417.30441 12.205 0.0213928223 -23.2593490056
209.09206 9.067 0.0249633789 0.0199258656
91.05396 9.695 0.0249633789 0.0385407958
305.22233 11.03 0.0249633789 0.1084686378
582.15797 10.491 0.0249633789 0.1755483584
196.09662 9.84 0.0249633789 0.0450008792
276.10116 7.893 0.0249633789 0.2085573525
113.03078 1.938 0.0249633789 0.3413570792
583.16022 8.649 0.0249633789 0.2404721809
343.12322 5.46 0.0249633789 0.2538837378
308.20098 9.244 0.0249633789 0.1080365116
276.11887 5.255 0.0249633789 0.1123453453
640.16250 9.308 0.0249633789 0.3220905952
316.04490 10.475 0.0255737305 -0.0050916127
246.04396 9.126 0.0255737305 0.0694004686
119.03487 0.991 0.0255737305 -0.1046167833
642.31799 0.711 0.0289916992 0.0209437955
179.09351 9.273 0.0289916992 0.2917469341
264.17474 9.936 0.0289916992 0.1547853900
72.08071 0.917 0.0289916992 0.1508147475
286.17993 9.975 0.0289916992 0.0483847885
207.14903 10.244 0.0289916992 0.0462951771
212.11807 9.798 0.0289916992 0.1934521346
207.01410 0.908 0.0289916992 0.2264990328
130.08616 0.963 0.0289916992 0.2943726972
493.13580 8.792 0.0289916992 0.1852968302
310.20133 9.1 0.0289916992 0.0391614308
177.08682 8.887 0.0289916992 0.3081377430
149.08072 5.991 0.0289916992 0.3053680511
464.08922 11.123 0.0301513672 -0.1332442773
348.89496 2.036 0.0301513672 0.0148411872
103.04006 2.128 0.0301513672 0.6344916917
269.08778 1.414 0.0301513672 -0.3172290700
149.04551 1.551 0.0301513672 -0.2602618498
157.06169 4.523 0.0301513672 0.2308126019
330.91568 12.664 0.0335388184 0.0976375684
434.15768 9.106 0.0335388184 0.1099215920
150.12764 10.599 0.0335388184 0.0644745415
185.09192 7.552 0.0335388184 -0.4210069890
180.10164 9.656 0.0335388184 0.0364186971
239.09126 11.735 0.0335388184 0.0719508313
161.09203 4.717 0.0335388184 0.2196896477
471.19640 11.271 0.0335388184 -0.0920548343
432.27996 10.695 0.0335388184 0.0000000000
102.05483 8.933 0.0335388184 0.2691083426
178.09031 10.06 0.0335388184 0.2888770678
309.12663 11.904 0.0335388184 0.1031384040
361.18300 10.229 0.0335388184 0.1679190364
220.14418 9.691 0.0335388184 0.0349397474
237.08673 7.957 0.0335388184 0.0334891893
159.07624 9.146 0.0335388184 0.2756835546
159.07617 9.025 0.0335388184 0.2769843645
203.04007 4.18 0.0335388184 0.1730786947
640.16271 9.119 0.0335388184 0.4861978044
243.13377 10.443 0.0335388184 0.0761146935
199.06892 9.647 0.0335388184 0.1337633970
202.01221 0.86 0.0353393555 0.1764431642
115.03993 0.99 0.0353393555 -0.1027095564
189.12341 0.99 0.0386352539 0.2824057442
223.14409 9.125 0.0386352539 0.1623223109
179.09099 9.09 0.0386352539 0.2802217198
204.12289 1.12 0.0386352539 0.1551328274
177.10193 10.234 0.0386352539 0.0406757357
177.08678 6.573 0.0386352539 0.1042399371
305.14947 10.889 0.0386352539 0.0405117017
134.04472 2.01 0.0386352539 0.2503281255
220.11785 6.676 0.0386352539 0.1841385335
111.52172 12.498 0.0386352539 -0.3693574503
189.15960 1.36 0.0386352539 0.2008485817
137.04578 8.857 0.0386352539 -0.0228376063
127.05112 0.93 0.0412597656 0.0999570866
73.06475 7.028 0.0443115234 0.0455706696
160.13313 0.929 0.0443115234 0.1875118802
199.06869 9.063 0.0443115234 0.1373958277
114.09122 5.331 0.0443115234 0.1522495708
186.11234 2.243 0.0443115234 0.2277470222
317.14536 3.942 0.0443115234 0.1851946805
99.51218 7.619 0.0443115234 -0.0136979146
131.08142 4.505 0.0443115234 0.1871118937
178.08377 9.047 0.0443115234 0.2952492607
228.12846 0.972 0.0443115234 0.0211124673
430.36731 0.756 0.0443115234 0.0253452226
118.08623 0.915 0.0443115234 0.1923281579
204.12297 0.92 0.0443115234 0.1959208045
324.99643 2.073 0.0479125977 0.1677390391
113.02429 0.991 0.0479125977 -0.0967900729
90.50677 12.471 0.0506591797 -4.9340817067
