"m.z" "r.t" "p.value" "t.score"
116.92850 12.983 0.0000000074 29.1762054274
170.11762 6.354 0.0000000200 0.0717369745
297.09353 5.148 0.0000000085 26.7282049938
269.12445 6.202 0.0000000291 -0.2527924297
291.20673 10.714 0.0000000291 27.5745368011
348.10080 8.211 0.0000000265 -0.3121582851
506.20748 7.308 0.0000000200 27.3559593489
279.11602 12.082 0.0000000200 0.8773783803
209.03017 5.657 0.0000000273 0.3915385611
253.05434 6.017 0.0000000241 0.5040130806
229.05791 5.313 0.0000000117 0.2452145176
307.11092 12.054 0.0000000484 -0.3104392092
295.07913 5.605 0.0000000491 0.2416625643
275.21163 9.852 0.0000000608 5.0304943129
321.89751 4.849 0.0000000625 0.7069497093
101.01674 5.642 0.0000000637 1.4174375681
189.13456 6.238 0.0000000764 0.3278845324
289.15454 10.891 0.0000000730 0.8885561634
245.16055 5.096 0.0000000697 -0.1408197423
162.07700 0.889 0.0000001056 -0.6521241700
154.12262 4.195 0.0000001047 0.0910852740
263.12129 11.682 0.0000001252 0.0000000000
118.05098 0.862 0.0000001337 0.2568785451
206.10339 0.808 0.0000001401 -0.4054737178
264.12424 11.817 0.0000001563 0.0000000000
335.19002 11.609 0.0000001784 0.3896699716
186.11247 5.226 0.0000002036 0.0448885476
207.14907 8.611 0.0000002885 0.2111392389
445.81506 12.734 0.0000002763 -0.8750579524
172.07175 9.946 0.0000002645 0.4373168976
187.08647 12.053 0.0000002885 0.3395016556
220.98079 11.494 0.0000003075 -0.3088080332
206.10331 0.816 0.0000003075 -0.4093499603
307.11091 10.806 0.0000004072 -0.0831765336
604.13812 8.48 0.0000004831 27.9723608601
288.00378 4.675 0.0000005259 26.6741228679
261.18080 11.062 0.0000005487 0.5648781589
287.07730 9.604 0.0000006050 0.4043760113
289.22728 9.974 0.0000005972 0.5985164741
285.97708 9.15 0.0000006913 0.4937954475
160.13313 0.929 0.0000007370 -0.2533873110
242.13058 8.916 0.0000009868 -27.2631715260
111.52172 12.498 0.0000010720 -0.1805197762
226.09353 10.051 0.0000012132 0.3051676527
249.10805 2.365 0.0000021449 0.3816159547
290.13862 11.042 0.0000027277 -0.6740957397
268.15443 8.687 0.0000034609 -0.5111949410
360.02505 8.292 0.0000036001 -0.1999260956
305.09646 11.916 0.0000036923 -0.1090633129
377.91489 4.919 0.0000051371 0.3340001467
290.13863 10.97 0.0000051200 -0.4794335456
202.01221 0.86 0.0000058075 0.2612868152
326.23230 10.263 0.0000064563 -0.3614916493
186.11234 2.243 0.0000067092 0.5446807341
229.15463 3.876 0.0000072438 -0.1597855653
464.08922 11.123 0.0000074079 -0.2249959204
256.01510 9.976 0.0000081227 -0.1548355516
124.00731 0.904 0.0000090560 -0.2745942351
324.99643 2.073 0.0000090560 0.7232309201
185.12834 7.4 0.0000098182 -0.2509169275
210.06989 1.178 0.0000098088 -0.4101477309
346.08652 8.44 0.0000124426 -0.2159597347
178.05854 1.363 0.0000153744 0.4967631288
259.09244 5.411 0.0000165528 0.4201812734
290.15961 6.066 0.0000171738 0.6711048233
549.21370 9.63 0.0000170180 -0.3662346375
235.96117 3.8 0.0000178170 -0.2397411213
333.09137 11.511 0.0000176917 -0.1286509229
213.12320 2.188 0.0000184831 0.1774230722
691.06024 9.046 0.0000214590 0.1380063933
232.05761 9.265 0.0000222990 0.6823857864
450.01277 1.949 0.0000247341 0.3280629423
183.11264 6.732 0.0000256440 -0.1730932486
253.09279 5.964 0.0000302401 0.1002421289
228.07861 8.707 0.0000306920 -0.2468192961
307.11093 11.428 0.0000329646 0.1360827621
155.15427 5.154 0.0000341599 -0.1810779888
323.19003 11.58 0.0000353964 0.2540439913
309.12663 11.904 0.0000407803 0.2215187683
331.09246 10.166 0.0000422430 -0.1505582816
119.52785 7.619 0.0000469355 -0.2347902233
572.35541 12.497 0.0000486066 0.3778605750
706.32819 8.954 0.0000503339 26.0341576551
162.83902 11.979 0.0000528849 -0.0924914716
160.84199 11.608 0.0000528849 0.1662790046
156.07664 1.417 0.0000578428 0.2370398359
273.15962 10.88 0.0000619838 0.2694258552
371.17238 10.818 0.0000682729 0.4535176562
158.04011 0.897 0.0000735984 -0.2928703907
331.95245 4.82 0.0000847466 -0.0954130198
233.10721 6.699 0.0000843421 -0.1209965186
191.99763 10.928 0.0000902543 0.2339779208
343.12322 5.46 0.0000933551 2.0019473914
182.10223 1.084 0.0000933551 -0.3021928574
647.41104 12.469 0.0000965563 -0.1323263991
199.96928 8.234 0.0001049285 -0.0795023572
177.10207 3.9 0.0001067934 0.0359529279
120.06550 0.875 0.0001104275 0.1959070603
328.10279 10.232 0.0001220424 -0.1100585747
240.11491 9.07 0.0001304155 -0.0903356647
302.01923 4.916 0.0001348023 0.5063545232
276.13611 4.661 0.0001348023 -0.0336107436
432.27996 10.695 0.0001439962 -1.2231174134
146.11750 0.877 0.0001488116 -0.2444727275
174.04068 9.047 0.0001542095 0.4663203615
172.13321 4.594 0.0001537783 0.0526404284
219.07628 10.787 0.0001810403 -0.1503724272
305.22233 11.03 0.0001931681 0.3552402758
276.10116 7.893 0.0001995144 26.2868432320
160.13321 5.706 0.0001995144 0.7791549559
144.06298 0.713 0.0002342925 -0.0915704564
271.18060 10.852 0.0002342925 -0.2445670690
219.13381 10.095 0.0002497356 0.2983241878
336.85871 2.805 0.0002571443 -0.0568873212
279.11598 10.313 0.0002578104 -0.0818556573
209.06651 1.5 0.0002749586 -0.3175157002
240.15945 8.688 0.0003116349 -0.0790028162
235.12873 7.948 0.0003317997 0.1716532860
414.33618 10.38 0.0003317997 -0.1460654701
761.58417 12.508 0.0003758445 0.0000000000
416.35181 10.38 0.0003758445 -0.0799511190
569.26508 11.514 0.0003703959 -0.0959727596
168.07661 2.356 0.0003998623 26.0725743723
146.08105 6.033 0.0003998623 0.1163178409
212.11807 9.798 0.0004253081 0.2997105532
266.06696 10.05 0.0004503638 -0.1329338346
440.22751 8.348 0.0005110096 0.1546899096
366.11176 6.382 0.0005110096 -0.0968924888
302.01938 5.534 0.0005110096 0.4354845216
387.28674 11.884 0.0005290247 -0.0923584629
250.18018 7.42 0.0005596596 -0.0873020677
233.16465 9.864 0.0005944534 0.2231617426
335.22869 10.076 0.0005944534 0.2536599246
139.03992 10.477 0.0006009797 0.2241695019
206.02797 12.026 0.0006203403 0.1331214722
289.06771 9.654 0.0007261502 -0.3020704611
158.11745 10.092 0.0007773993 0.2839327273
176.12800 11.055 0.0009003894 0.1734251161
250.17998 6.152 0.0009825995 -0.0694182138
278.19036 9.315 0.0009825995 -0.0520222785
412.19637 8.44 0.0010717137 -0.0797442832
281.07666 10.459 0.0011030420 -0.2366278910
417.30441 12.205 0.0011030420 -0.1319184794
208.06134 11.426 0.0011181847 -0.0569441005
118.06085 1.015 0.0011682540 -0.1878242715
172.09669 9.97 0.0011682540 0.2553324298
231.06209 9.352 0.0011879940 0.0000000000
328.16675 10.866 0.0012243889 0.1308511944
397.11301 1.167 0.0012727765 -0.1014465881
174.14874 8.541 0.0013094925 -0.1297882943
365.10535 5.437 0.0013094925 0.6920531772
241.10289 0.989 0.0014255858 -0.2356874533
241.08692 11.965 0.0014652689 -0.1054483948
172.09674 10.106 0.0014663448 0.2702986757
196.14204 0.68 0.0014663448 -0.0635433049
177.14837 10.693 0.0015081753 -0.2360448848
256.16943 9.741 0.0015951526 0.1454447852
356.24314 11.873 0.0017831144 0.0217210212
145.08582 10.901 0.0018845422 0.4765598700
738.44891 12.651 0.0019372192 0.1980484526
185.11830 12.558 0.0020234875 -0.0895781201
261.12341 10.988 0.0021034674 -0.3045422828
165.01160 11.331 0.0021034674 0.2220798580
371.12243 11.684 0.0022827088 -0.1482481780
793.36499 8.806 0.0023454972 0.1390418951
384.12233 6.947 0.0025434712 -0.1563910330
382.14517 12.078 0.0025454850 -0.0953652195
190.11859 1.167 0.0026838221 0.1981108082
118.08623 0.915 0.0028312171 -0.1674498257
617.28564 8.799 0.0028312171 0.1120075799
102.95671 8.75 0.0028502741 -0.1416728089
118.04970 3.758 0.0029076533 -0.1609577461
465.12645 12.602 0.0029859686 -0.1813639154
209.06660 1.251 0.0030148465 -0.3682082401
515.56788 1.001 0.0030662038 -0.1929172436
278.17495 7.936 0.0034976615 -0.0440034450
243.13377 10.443 0.0034976615 0.2716865820
255.09499 7.907 0.0035903165 0.0758736225
211.10753 8.605 0.0036851989 0.2141674715
388.87366 2.809 0.0037634362 -0.0340405529
111.08028 10.089 0.0037823556 0.2783645341
358.25885 9.566 0.0039836844 0.1704604653
241.15468 4.688 0.0040879549 -0.0747088440
104.07053 0.875 0.0040879549 -0.2717405163
165.06909 3.268 0.0041946963 -0.0710017571
396.45639 11.969 0.0046474105 -0.0333837256
439.28392 12.663 0.0048899688 0.3011412446
480.00681 6.217 0.0052753174 0.2153963526
207.07621 8.806 0.0054097364 0.1542313805
338.11688 6.931 0.0054097364 -0.1512314676
128.04539 9.945 0.0055472402 0.0975929337
239.01644 1.016 0.0056369433 -0.1651334655
314.18100 9.212 0.0056878902 -0.1712376187
175.05762 0.989 0.0058317488 0.1552989750
236.58849 1.017 0.0059788794 -0.0990897057
272.13379 2.368 0.0061293463 0.1259317498
262.18017 8.577 0.0061293463 -0.0227654679
793.36467 9.087 0.0061293463 0.1464859294
216.06872 8.046 0.0062832151 0.0619319046
206.10229 7.942 0.0064405522 2.5520372138
349.60466 1.028 0.0066014250 0.1128252277
239.01650 0.999 0.0065971456 -0.1651650862
694.92303 12.344 0.0067659020 0.1073574211
370.07357 5.901 0.0067659020 -0.1509716649
518.83193 1.289 0.0069484809 -0.0815178985
198.04960 1.023 0.0071303751 0.1756433344
490.28535 11.201 0.0072816596 0.3250431251
229.56251 1.002 0.0072816596 -0.1155111824
241.03105 1.001 0.0078324237 -0.1454751726
129.06569 0.987 0.0082200436 -0.1306731696
209.09206 9.067 0.0086247415 -0.0381800727
428.05961 8.554 0.0086247415 20.7222136214
314.18103 9.232 0.0088336940 -0.1948836803
130.06211 1.029 0.0089698489 0.1760337991
176.12802 0.894 0.0090471574 -0.2174895900
255.13494 9.538 0.0091984006 0.0952547859
363.16229 10.301 0.0092652147 0.2847002537
583.15175 9.301 0.0094321356 0.0000000000
167.08539 12.572 0.0097154479 -0.2680968732
227.89438 8.954 0.0099155567 -0.0809414731
76.03924 0.818 0.0101850801 -0.1349165236
423.12576 9.396 0.0104209284 0.0577700956
132.07667 1.015 0.0104273906 0.1271743022
705.82720 8.883 0.0106748169 23.4499838410
640.16250 9.308 0.0106748169 0.1464291223
307.16514 10.397 0.0111853828 0.2169834787
356.27935 11.065 0.0111853828 -0.1357489039
277.11832 10.94 0.0114487086 -0.1702450363
302.06729 10.869 0.0114487086 -0.0606124612
154.06217 1.055 0.0115009084 0.1379951298
298.05252 1.172 0.0119919200 -0.0926910181
449.11725 0.993 0.0119919200 -0.0594918049
193.09709 3.414 0.0119919200 0.0277910058
344.20657 10.379 0.0122719992 0.1483594595
99.51218 7.619 0.0122719992 -0.0604955488
407.18846 10.548 0.0125578583 0.4048867894
88.07557 0.874 0.0125578583 -0.0643262183
205.12233 10.874 0.0125578583 -0.0940867735
146.05992 10.774 0.0128495974 -0.0781922425
132.06535 4.662 0.0134511211 0.1154069361
314.18103 9.221 0.0134511211 -0.1995940941
778.20494 9.657 0.0136316026 -0.1182924501
322.12982 12.527 0.0140773945 0.2538578116
334.12581 1.044 0.0146467845 0.0611663487
437.93057 3.589 0.0149996883 0.0808550322
345.07263 11.048 0.0153600610 0.1037729246
191.13902 0.914 0.0154075904 -0.0509195048
310.14136 10.22 0.0157569530 -0.7418583066
232.15429 4.856 0.0161132646 -0.0960561322
466.81659 1.86 0.0164873086 -0.0390059808
153.06571 9.803 0.0172250399 -0.1612444702
261.14835 12.903 0.0176103008 0.1930664387
217.04941 1.246 0.0176103008 -0.0901275109
212.11265 2.743 0.0176103008 -0.0732885228
473.97051 0.82 0.0176865821 -0.0979932126
333.14431 9.911 0.0180030940 -0.0915433845
