"m.z" "r.t" "p.value" "t.score"
116.92850 12.983 0.0000000005 1.2514339328
229.05791 5.313 0.0000000012 0.2185085516
291.20673 10.714 0.0000000005 1.8337615042
253.05434 6.017 0.0000000018 0.4088202289
295.07913 5.605 0.0000000010 0.2056676301
101.01674 5.642 0.0000000012 0.9477944933
289.15454 10.891 0.0000000018 0.5880333477
264.12424 11.817 0.0000000011 29.9767500876
604.13812 8.48 0.0000000007 1.0616043553
263.12129 11.682 0.0000000018 32.1038457760
343.12322 5.46 0.0000000017 1.1869573463
324.99643 2.073 0.0000000025 0.5224650690
506.20748 7.308 0.0000000030 2.3672525243
275.21163 9.852 0.0000000033 0.9452745310
348.10080 8.211 0.0000000037 -0.4955229496
279.11602 12.082 0.0000000045 0.5390061882
289.22728 9.974 0.0000000045 0.4484908066
450.01277 1.949 0.0000000052 0.3165848556
307.11092 12.054 0.0000000103 -0.4210487705
445.81506 12.734 0.0000000093 -3.3914614456
206.02797 12.026 0.0000000103 0.2158158428
231.06209 9.352 0.0000000119 0.0000000000
297.09353 5.148 0.0000000165 1.0331748228
706.32819 8.954 0.0000000200 1.7469479080
207.14907 8.611 0.0000000220 0.1972913677
119.52785 7.619 0.0000000350 -0.3536697425
365.10535 5.437 0.0000000350 0.6153111366
233.10721 6.699 0.0000000874 -0.1244795338
155.15427 5.154 0.0000001784 -0.2192797403
276.10116 7.893 0.0000001864 1.2832723151
261.18080 11.062 0.0000002036 0.4840294806
256.01510 9.976 0.0000002127 -0.1923548690
464.08922 11.123 0.0000002425 -0.3368967151
583.15175 9.301 0.0000002425 0.0000000000
335.19002 11.609 0.0000002885 0.4781089462
174.04068 9.047 0.0000003146 0.4764295013
273.15962 10.88 0.0000003429 0.2658928239
793.36499 8.806 0.0000003901 0.1896366611
253.09279 5.964 0.0000005041 0.0978627579
226.09353 10.051 0.0000005487 0.3429381510
321.89751 4.849 0.0000005724 0.5080273237
428.05961 8.554 0.0000007370 0.8274378885
323.19003 11.58 0.0000007685 0.4604016313
111.52172 12.498 0.0000008014 -0.2456794040
307.11091 10.806 0.0000008711 -0.0757124970
118.05098 0.862 0.0000008711 0.2456769706
371.17238 10.818 0.0000008711 0.3240918575
187.08647 12.053 0.0000010720 0.2871654222
217.11826 7.86 0.0000011172 0.2068945041
287.07730 9.604 0.0000011643 0.4679589177
288.00378 4.675 0.0000012132 1.9167983885
412.19637 8.44 0.0000013722 -0.0990966725
278.19036 9.315 0.0000016157 -0.0545589742
617.28564 8.799 0.0000017525 0.1656497348
174.12357 5.985 0.0000017525 0.3270924750
360.02505 8.292 0.0000019788 -0.1607715567
160.84199 11.608 0.0000026210 0.1449767050
326.23230 10.263 0.0000027277 -0.4366508760
423.12576 9.396 0.0000033268 0.0897677031
242.13058 8.916 0.0000037448 0.0000000000
414.30011 11.739 0.0000043810 -0.1791904230
259.09244 5.411 0.0000049248 0.2885591907
191.99763 10.928 0.0000051200 0.2196738356
229.11827 0.988 0.0000057511 0.4132940323
305.22233 11.03 0.0000059775 0.3532383588
245.16055 5.096 0.0000067092 -0.1644260075
221.15347 12.88 0.0000072438 -0.2404812820
170.11762 6.354 0.0000078190 0.0596183666
377.91489 4.919 0.0000081227 0.2305662089
172.07175 9.946 0.0000081227 0.4639505984
145.08582 10.901 0.0000091029 0.2339407252
174.14874 8.541 0.0000098182 -0.2422616293
691.06024 9.046 0.0000109925 0.1531307412
440.22751 8.348 0.0000123002 0.1903154312
793.36467 9.087 0.0000132532 0.1859947329
346.08652 8.44 0.0000153744 -0.1594022619
168.07661 2.356 0.0000153744 1.0978601958
647.41104 12.469 0.0000159532 -0.1287368705
247.08243 10.759 0.0000159532 -0.2453169409
432.27996 10.695 0.0000165528 -27.4744150309
177.14837 10.693 0.0000191728 -0.4541381894
441.19742 11.281 0.0000206266 0.1048449897
186.11247 5.226 0.0000213922 0.1034056541
508.01346 5.713 0.0000230055 0.0888432309
186.11234 2.243 0.0000256440 0.4690916017
302.01938 5.534 0.0000306920 0.3395231888
309.12663 11.904 0.0000318090 0.2083494005
219.13381 10.095 0.0000353964 0.4005752247
249.10805 2.365 0.0000393658 0.3195635434
209.03017 5.657 0.0000422430 0.1852366080
417.30441 12.205 0.0000453190 -0.1598542818
180.06532 8.396 0.0000598794 -0.1794954902
307.11093 11.428 0.0000619838 0.1397092145
202.01221 0.86 0.0000641581 0.2199185595
279.11598 10.313 0.0000641581 -0.0879451499
232.05761 9.265 0.0000761559 0.6620886800
154.12262 4.195 0.0000843421 0.0724262473
324.09111 12.039 0.0000965563 0.1053907402
179.05488 1.986 0.0001067934 0.2354006832
305.14947 10.889 0.0001104275 0.1746760002
255.13494 9.538 0.0001141780 0.1866257613
148.06036 0.977 0.0001180485 0.3991602352
434.21735 8.685 0.0001220424 0.0801593541
204.12297 0.92 0.0001220424 -0.2495735708
329.08807 11.946 0.0001304155 0.0880432952
335.22869 10.076 0.0001348023 0.3250800730
490.28535 11.201 0.0001393279 0.3664703343
146.08105 6.033 0.0001393279 0.0927551360
90.50677 12.471 0.0001393279 -0.2357696498
269.12445 6.202 0.0001488116 -0.1713002055
172.09674 10.106 0.0001537783 0.4124382794
290.15961 6.066 0.0001537783 0.4866764847
407.18846 10.548 0.0001641835 0.4295577618
711.06927 2.468 0.0001696311 -0.7831239013
176.12800 11.055 0.0001696311 0.2388039008
290.13862 11.042 0.0001696311 -0.8459256690
257.11322 8.472 0.0001752484 0.0454448174
445.11963 12.49 0.0001752484 -0.2314143406
289.06943 3.383 0.0001810403 0.0371141080
211.10753 8.605 0.0001931681 0.2592466796
761.58417 12.508 0.0001995144 0.0000000000
111.08028 10.089 0.0002127993 0.2016312376
214.03322 0.96 0.0002269114 0.3637100466
250.18018 7.42 0.0002342925 -0.0433007381
345.07263 11.048 0.0002342925 0.1617076079
172.09669 9.97 0.0002578104 0.3184717081
167.08539 12.572 0.0002835282 -0.2806225250
269.08780 10.595 0.0002926219 0.1468864096
323.14249 11.965 0.0003019883 0.1811399860
345.07272 11.44 0.0003116349 0.1048192355
321.89737 5.269 0.0003116349 0.0854085799
282.11969 8.251 0.0003215694 0.0137806633
348.89496 2.036 0.0003215694 0.0461162043
217.05670 5.627 0.0003215694 0.0926792315
117.06976 7.935 0.0003317997 0.0768264260
290.13863 10.97 0.0003423340 -0.4999132085
268.15443 8.687 0.0003643477 -0.3107906120
363.16229 10.301 0.0004385907 0.2440780342
328.16675 10.866 0.0004663253 0.1117927013
242.98224 6.978 0.0004663253 0.3671711248
333.09137 11.511 0.0004807983 -0.0921018073
451.21470 10.875 0.0005110096 0.1739631048
207.12252 10.344 0.0005429830 0.2898465643
260.16772 11.756 0.0005596596 -0.1928338978
158.11745 10.092 0.0005768123 0.2910122720
255.09499 7.907 0.0005944534 0.1372921687
125.02431 1.208 0.0006125957 0.1159538721
262.18017 8.577 0.0006312522 -0.0359550395
349.08928 10.373 0.0006312522 0.2532805618
233.16465 9.864 0.0006504360 0.1826921908
162.07594 1.02 0.0006701610 0.2502313388
705.82720 8.883 0.0006701610 24.7304558352
71.01366 1.245 0.0006904408 0.1602270067
226.08222 7.649 0.0007112899 0.0585832829
379.17993 11.998 0.0007112899 0.1387143391
480.00681 6.217 0.0007773993 0.2502935858
243.13377 10.443 0.0008006739 0.2324010570
233.09932 6.804 0.0008006739 0.1226392768
162.83902 11.979 0.0008245938 -0.0892612747
216.06872 8.046 0.0009003894 0.0677493966
277.15562 9.231 0.0009825995 0.0717650135
98.98413 2.329 0.0010412104 -0.2166224418
149.04539 1.234 0.0010717137 0.1093020564
294.20617 9.687 0.0011030420 -0.0473078515
242.98246 7.374 0.0011352152 0.2255875127
99.51218 7.619 0.0011352152 -0.0614882365
387.11466 5.628 0.0011352152 0.4461826163
195.05086 2.523 0.0011352152 0.1689744581
180.08652 1.003 0.0012021795 0.1588891752
220.98079 11.494 0.0012370130 -0.1961019161
231.07733 11.943 0.0012727765 0.0916824954
245.09525 8.796 0.0014663448 0.1979167721
272.20084 10.484 0.0014663448 0.0961230469
305.09646 11.916 0.0014663448 -0.1067569540
172.13321 4.594 0.0015081753 0.0549613435
208.09662 10.549 0.0015081753 0.1529271777
180.05942 1.204 0.0015081753 0.1386516016
102.95673 5.012 0.0015951526 0.1304016774
204.12289 1.12 0.0016867266 -0.1185975957
178.05854 1.363 0.0017831144 0.2578325922
223.96317 2.425 0.0018331838 -0.1235171358
393.11557 10.785 0.0018845422 0.1920610024
199.96928 8.234 0.0019372192 -0.0785989210
144.06298 0.713 0.0020466507 -0.1019601703
385.90170 1.566 0.0021034674 -0.1591559211
183.07790 9.596 0.0022827088 -0.1024804657
307.24774 12.579 0.0022827088 -0.1374250442
225.06165 1.205 0.0023454972 0.1049472036
191.10249 10.256 0.0024098635 0.1158183663
281.07666 10.459 0.0024098635 -0.1920093482
317.14536 3.942 0.0024098635 0.1554214781
245.21100 12.02 0.0024758429 -0.1476809977
397.17136 10.833 0.0025434712 0.1230363073
101.02426 1.2 0.0026127852 0.1380140789
212.07631 2.342 0.0026838221 0.2735664819
414.33618 10.38 0.0026838221 -0.1470221538
344.20657 10.379 0.0028312171 0.1457305879
437.29077 11.98 0.0028312171 0.0668509076
437.93057 3.589 0.0028312171 0.0962872789
333.11538 10.392 0.0029076533 0.9965652113
270.08905 11.955 0.0029076533 -0.0978134364
242.98245 7.562 0.0029859686 0.1627791181
416.35181 10.38 0.0030662038 -0.0739346395
180.08653 1.783 0.0031484006 0.2019900813
114.09122 5.331 0.0031484006 0.1062269565
358.25885 9.566 0.0033188489 0.1322933085
266.06696 10.05 0.0033188489 -0.1803440079
210.13344 8.407 0.0034976615 0.0441876811
269.08932 8.607 0.0035903165 -0.1388598615
130.08616 0.963 0.0035903165 0.1735972433
264.19561 6.634 0.0036851989 0.1484218395
256.16943 9.741 0.0037823556 0.1344613874
258.10995 0.974 0.0039836844 -0.2735884358
384.11905 1.015 0.0039836844 0.1278970188
298.05252 1.172 0.0043039600 -0.1473488827
435.19839 11.83 0.0045302636 0.0898505386
198.09718 1.002 0.0046474105 0.1241694322
163.06002 1.001 0.0047672937 0.1663375412
427.21881 10.726 0.0050154926 -0.1169822656
213.12320 2.188 0.0050154926 0.1289153383
324.19171 10.394 0.0056878902 0.1385650313
290.26883 12.224 0.0058317488 -0.2346383034
349.24438 10.041 0.0059788794 0.1057611802
206.10339 0.808 0.0061293463 -0.2253094458
146.05992 10.774 0.0061293463 -0.0900830069
232.93500 9.648 0.0062832151 0.1121380903
179.05607 7.974 0.0066014250 0.2124326851
206.10331 0.816 0.0067659020 -0.2410709144
139.03992 10.477 0.0067659020 0.1677837986
238.09924 7.85 0.0067659020 0.0273291602
