"m.z" "r.t" "p.value" "t.score"
264.12424 11.817 0.0000000006 1.3526181051
604.13812 8.48 0.0000000006 0.7311114424
276.10116 7.893 0.0000000004 0.7117066472
450.01277 1.949 0.0000000007 0.3527694888
291.20673 10.714 0.0000000007 1.1697350912
297.09353 5.148 0.0000000012 0.6143435051
263.12129 11.682 0.0000000011 1.4237360606
168.07661 2.356 0.0000000018 1.0888455511
101.01674 5.642 0.0000000014 0.8201376857
275.21163 9.852 0.0000000017 0.9185583339
288.00378 4.675 0.0000000017 1.0648028331
279.11602 12.082 0.0000000024 0.3972712350
289.15454 10.891 0.0000000026 0.6011234542
116.92850 12.983 0.0000000041 0.7848123259
321.89751 4.849 0.0000000045 0.3878195184
253.05434 6.017 0.0000000047 0.3196935424
207.14907 8.611 0.0000000045 0.1990927910
343.12322 5.46 0.0000000063 0.5605670024
229.05791 5.313 0.0000000082 0.1728403253
324.99643 2.073 0.0000000095 0.3915327627
289.22728 9.974 0.0000000119 0.3684048109
365.10535 5.437 0.0000000124 0.5961185915
305.22233 11.03 0.0000000130 0.2300602644
191.99763 10.928 0.0000000182 0.2218061682
793.36499 8.806 0.0000000191 0.2066247727
226.09353 10.051 0.0000000230 0.4376104381
257.11322 8.472 0.0000000241 0.1326598774
295.07913 5.605 0.0000000291 0.1574817163
377.91489 4.919 0.0000000291 0.2177071527
506.20748 7.308 0.0000000367 0.4424449146
186.11247 5.226 0.0000000367 0.0681580400
172.07175 9.946 0.0000000350 0.4406529361
261.18080 11.062 0.0000000403 0.3685743081
170.11762 6.354 0.0000000530 0.0620736867
114.09122 5.331 0.0000000666 0.2841878330
159.05110 3.693 0.0000000764 0.5291909498
273.15962 10.88 0.0000000836 0.3822344854
302.01938 5.534 0.0000000915 0.4197758034
187.08647 12.053 0.0000001001 0.2366057743
617.28564 8.799 0.0000001001 0.1606925105
440.22751 8.348 0.0000001197 0.2513412587
428.05961 8.554 0.0000001197 0.8689002081
158.11745 10.092 0.0000001309 0.5118875289
371.17238 10.818 0.0000001712 0.3189280471
176.12800 11.055 0.0000002036 0.3292245879
219.13381 10.095 0.0000002321 0.5444473817
111.08028 10.089 0.0000002425 0.2550439489
161.09203 4.717 0.0000002533 0.3321111382
445.81506 12.734 0.0000003580 -25.8319381669
276.00377 4.139 0.0000003901 0.1851899647
245.16055 5.096 0.0000003901 -0.1591763437
174.12357 5.985 0.0000004250 0.3848865518
186.11234 2.243 0.0000005041 0.4498222821
259.09244 5.411 0.0000005259 0.3953571655
335.22869 10.076 0.0000005724 0.4913819329
207.07621 8.806 0.0000005972 0.3240762349
172.09674 10.106 0.0000006497 0.5875726721
172.09669 9.97 0.0000007370 0.4213162925
226.08222 7.649 0.0000008014 0.1449797746
207.12252 10.344 0.0000011172 0.2771942292
706.32819 8.954 0.0000011643 0.9887282757
154.12262 4.195 0.0000012642 0.0696712692
113.03080 1.937 0.0000013722 0.5000119499
174.04068 9.047 0.0000013927 0.3668664459
113.03078 1.938 0.0000014296 0.5071155125
256.16943 9.741 0.0000014296 0.1320636717
307.16514 10.397 0.0000015512 0.2522972943
480.00681 6.217 0.0000018250 0.1934528167
202.01221 0.86 0.0000019454 0.1991082114
317.14536 3.942 0.0000021449 0.2231931682
233.16465 9.864 0.0000022330 0.2230677762
160.84199 11.608 0.0000022955 0.1242560681
335.19002 11.609 0.0000026210 0.2648111004
196.09662 9.84 0.0000027277 0.1005076240
346.08652 8.44 0.0000042285 -0.2118374294
793.36467 9.087 0.0000047367 0.2281465392
490.28535 11.201 0.0000049248 0.4818451434
139.03992 10.477 0.0000049639 0.1652481990
232.05761 9.265 0.0000051660 0.7220544166
276.00379 4.592 0.0000053226 0.2208017399
756.24129 8.822 0.0000055329 0.4080439266
302.01923 4.916 0.0000055329 0.4327733456
217.11826 7.86 0.0000059775 0.2206441837
243.13377 10.443 0.0000062125 0.2680543848
