"m.z" "r.t" "p.value" "t.score"
253.05434 6.017 0.0009765625 0.0728658816
158.11745 10.092 0.0009765625 0.2108785316
432.14178 9.674 0.0009765625 0.0867483321
101.01674 5.642 0.0009765625 0.1084930563
206.10211 8.266 0.0009765625 0.0378845313
349.08928 10.373 0.0009765625 0.0691636177
289.15454 10.891 0.0009765625 0.1548945962
158.09236 9.95 0.0009765625 0.0815229392
344.22784 9.107 0.0009765625 -0.0008331122
275.21163 9.852 0.0009765625 0.2333025067
245.12827 10.024 0.0009765625 0.0469590339
582.15784 9.692 0.0009765625 0.2514872206
147.05113 9.687 0.0009765625 0.0514658005
153.06584 9.4 0.0009765625 0.0256840334
191.10249 10.256 0.0009765625 0.1332706348
261.14835 12.903 0.0009765625 0.3188371675
317.14938 10.984 0.0009765625 0.0333940484
344.20657 10.379 0.0009765625 0.0439090708
233.16465 9.864 0.0009765625 0.0604673994
207.12252 10.344 0.0009765625 0.0854896510
91.05396 9.695 0.0009765625 0.0599599157
200.23726 9.743 0.0009765625 0.1520428782
451.21470 10.875 0.0009765625 0.0508507612
251.17527 9.996 0.0009765625 0.0435450754
305.14947 10.889 0.0009765625 0.0527806770
261.18080 11.062 0.0009765625 0.8226407801
180.10164 9.656 0.0009765625 0.0652995299
144.06298 0.713 0.0009765625 -0.0336548851
230.08427 9.943 0.0009765625 0.0296571784
290.13862 11.042 0.0009765625 -0.2008855894
137.04578 8.857 0.0009765625 -0.0320201485
348.10080 8.211 0.0009765625 -26.8761916658
172.09669 9.97 0.0009765625 0.1533784323
172.09674 10.106 0.0009765625 0.2349725618
159.05110 3.693 0.0009765625 0.3865187508
344.22801 9.105 0.0009765625 -0.0003154221
176.12800 11.055 0.0009765625 0.2619368260
520.33185 10.388 0.0009765625 -0.0040840475
188.06636 9.702 0.0009765625 0.0426238145
174.14874 8.541 0.0009765625 -0.3726236401
219.13381 10.095 0.0009765625 0.4102412552
291.20673 10.714 0.0009765625 0.2008696515
199.09645 9.587 0.0009765625 0.2084623854
370.07339 6.623 0.0009765625 0.0362863027
276.10116 7.893 0.0009765625 0.1391714649
255.09499 7.907 0.0009765625 0.0570579840
235.12873 7.948 0.0009765625 0.0597362951
432.04721 8.318 0.0009765625 0.1075426035
287.10956 8.45 0.0009765625 0.0541192756
604.13812 8.48 0.0009765625 0.1544598917
150.05492 9.579 0.0009765625 0.1920688255
414.33618 10.38 0.0009765625 -0.0649082334
335.22869 10.076 0.0009765625 0.2247750342
617.28564 8.799 0.0009765625 0.1583105226
