"m.z" "r.t" "p.value" "t.score"
464.08922 11.123 0.0000019073 -0.2346537385
220.98079 11.494 0.0000019073 -26.8110155974
245.16055 5.096 0.0000019073 -0.1689770336
155.15427 5.154 0.0000019073 -0.1938057367
307.11091 10.806 0.0000019073 -0.0880993227
291.20673 10.714 0.0000095367 28.2820760848
275.21163 9.852 0.0000095367 29.3308319799
279.11598 10.313 0.0000133514 -0.0875547251
295.07913 5.605 0.0000095367 0.3126034946
116.92850 12.983 0.0000133514 28.9914772103
253.05434 6.017 0.0000095367 1.0908273388
506.20748 7.308 0.0000057220 28.0972386513
604.13812 8.48 0.0000133514 28.1292798715
202.01221 0.86 0.0000133514 0.2598866021
279.11602 12.082 0.0000095367 2.0910540123
174.04068 9.047 0.0000095367 29.7351167562
289.15454 10.891 0.0000133514 25.8069466392
445.81506 12.734 0.0000095367 0.0000000000
305.09646 11.916 0.0000038147 -0.1198285726
297.09353 5.148 0.0000095367 21.7628099274
196.14204 0.68 0.0000133514 -0.1065783612
162.07700 0.889 0.0000190735 -0.6356495820
324.99643 2.073 0.0000190735 0.6459071038
290.13863 10.97 0.0000267029 0.0000000000
168.07661 2.356 0.0000267029 0.0000000000
290.13862 11.042 0.0000267029 0.0000000000
346.08652 8.44 0.0000362396 -0.5425727893
450.01277 1.949 0.0000629425 0.3982235635
348.10080 8.211 0.0000629425 -1.1905753980
185.11830 12.558 0.0000629425 -0.2023070332
269.12445 6.202 0.0000820160 -0.2727913915
371.17238 10.818 0.0000820160 0.8088868496
288.00378 4.675 0.0000820160 0.0000000000
229.05791 5.313 0.0001049042 0.3096820621
279.18024 10.347 0.0001335144 -0.0121339440
326.23230 10.263 0.0001335144 -0.8933468409
206.10339 0.808 0.0001678467 -0.4727835065
289.22728 9.974 0.0001678467 4.0154278775
266.06696 10.05 0.0001678467 -1.0351052715
206.10331 0.816 0.0001678467 -0.4730296598
261.18080 11.062 0.0002098083 27.9694079794
307.11092 12.054 0.0002098083 -0.3820080073
281.07666 10.459 0.0002098083 -0.4033308491
217.11826 7.86 0.0002613068 0.3594825284
187.08647 12.053 0.0002613068 0.5330873937
