"m.z" "r.t" "p.value" "t.score"
116.92850 12.983 0.0000095367 1.4012222837
321.89751 4.849 0.0000057220 1.2708689792
263.12129 11.682 0.0000038147 0.0000000000
185.03049 9.821 0.0000057220 -0.0381662444
291.20673 10.714 0.0000095367 1.3889421054
326.23230 10.263 0.0000095367 -1.7748330953
174.04068 9.047 0.0000095367 1.1085544344
101.01674 5.642 0.0000095367 0.4876635897
348.10080 8.211 0.0000095367 -27.9924403237
261.18080 11.062 0.0000095367 4.1075872608
297.09353 5.148 0.0000095367 3.8675359207
279.11598 10.313 0.0000019073 -0.1019941494
307.11093 11.428 0.0000038147 0.1471374349
270.08905 11.955 0.0000038147 -0.1207518095
253.05434 6.017 0.0000038147 0.5222687786
464.08922 11.123 0.0000019073 -0.3470731914
264.12424 11.817 0.0000095367 0.0000000000
305.09646 11.916 0.0000038147 -0.1270885912
307.11092 12.054 0.0000095367 -0.4811442266
233.10721 6.699 0.0000095367 -0.1607084218
343.12322 5.46 0.0000095367 0.9790801456
229.05791 5.313 0.0000133514 0.2657705702
295.07913 5.605 0.0000133514 0.2288475939
279.11602 12.082 0.0000133514 0.7877258801
239.12775 12.444 0.0000190735 -0.1340123744
307.24774 12.579 0.0000190735 -0.2078553876
289.15454 10.891 0.0000190735 1.8395034621
275.21163 9.852 0.0000267029 1.5200199053
387.28674 11.884 0.0000267029 -0.1043920744
191.99763 10.928 0.0000267029 0.4757345185
207.14907 8.611 0.0000362396 0.1554842347
305.22233 11.03 0.0000362396 0.3760126550
289.22728 9.974 0.0000629425 0.8959577419
203.01723 1.563 0.0000629425 -0.3573715543
187.08647 12.053 0.0000629425 0.3304001579
365.10535 5.437 0.0000820160 0.4208614023
135.02986 1.549 0.0001049042 -0.3910514837
160.84199 11.608 0.0001049042 0.1567466799
155.15427 5.154 0.0001049042 -0.1811741776
346.08652 8.44 0.0001335144 -0.7702227386
144.06544 5.699 0.0001335144 -0.2226635591
416.35181 10.38 0.0001678467 -0.1079808264
377.91489 4.919 0.0001678467 0.3071160196
174.14874 8.541 0.0001678467 -27.2747193022
273.15962 10.88 0.0001678467 0.6484552292
115.07521 4.193 0.0002613068 0.1772873319
415.25378 9.765 0.0002613068 -0.0277196874
237.12318 6.91 0.0003223419 -0.0624833440
182.10223 1.084 0.0003223419 -0.2228458491
