"m.z" "r.t" "p.value" "t.score"
116.92850 12.983 0.0000076294 0.7907293820
207.14907 8.611 0.0000076294 0.2605837507
276.10116 7.893 0.0000076294 1.2551302298
273.15962 10.88 0.0000076294 0.5444209482
305.14947 10.889 0.0000076294 0.2127536479
604.13812 8.48 0.0000076294 0.7406708556
706.32819 8.954 0.0000076294 1.3361164066
617.28564 8.799 0.0000076294 0.3561105473
793.36499 8.806 0.0000076294 0.5074471367
291.20673 10.714 0.0000076294 1.1768335351
101.01674 5.642 0.0000076294 0.3798638834
275.21163 9.852 0.0000076294 0.8256263917
295.07913 5.605 0.0000076294 0.1944507312
300.20181 8.715 0.0000076294 0.0070869150
282.11969 8.251 0.0000076294 0.0175484350
297.09353 5.148 0.0000076294 0.9948535031
289.15454 10.891 0.0000076294 0.7073144544
170.15375 8.756 0.0000076294 0.0682130169
272.20084 10.484 0.0000076294 0.1013875072
264.19561 6.634 0.0000076294 0.8147998138
253.05434 6.017 0.0000076294 0.4725915874
289.22728 9.974 0.0000076294 0.5335359385
233.16465 9.864 0.0000152588 0.1920884747
229.05791 5.313 0.0000152588 0.2336354064
263.17526 10.779 0.0000152588 0.2916645376
139.03992 10.477 0.0000152588 0.1313537469
111.08028 10.089 0.0000228882 0.2625646689
793.36467 9.087 0.0000228882 0.7174620615
480.85041 0.749 0.0000228882 0.0277504414
191.10249 10.256 0.0000228882 0.2718381601
434.21735 8.685 0.0000228882 0.0841153597
349.24438 10.041 0.0000381470 0.1073096520
279.11602 12.082 0.0000381470 0.4899744658
133.08570 7.047 0.0000381470 0.3335828416
317.14938 10.984 0.0000381470 0.1363278169
264.12424 11.817 0.0000381470 29.3891160309
216.06872 8.046 0.0000381470 0.1929991813
288.00378 4.675 0.0000381470 3.2772432623
233.09932 6.804 0.0000381470 0.3084411129
365.10535 5.437 0.0000381470 0.5797038093
340.13251 6.956 0.0000381470 0.2113880115
242.13058 8.916 0.0000381470 0.0000000000
191.99763 10.928 0.0000381470 0.3850606740
269.08780 10.595 0.0000381470 0.1704256826
263.12129 11.682 0.0000381470 31.5672262685
370.07339 6.623 0.0000534058 0.1409635841
440.22751 8.348 0.0000534058 0.3366616519
206.02797 12.026 0.0000534058 0.2283534121
276.19543 8.459 0.0000534058 0.0686485160
251.17527 9.996 0.0000534058 0.1401227669
311.15530 10.615 0.0000762939 0.0859424678
705.32528 9.119 0.0000762939 1.2124560849
343.12322 5.46 0.0000762939 0.6031348587
208.09662 10.549 0.0000762939 0.1868987201
307.16514 10.397 0.0000762939 0.2771394403
691.06024 9.046 0.0001068115 0.4593813656
247.18027 8.894 0.0001068115 0.2037411892
349.08928 10.373 0.0001068115 0.2856909376
196.09662 9.84 0.0001068115 0.0917459901
187.08647 12.053 0.0001449585 0.2934717279
226.09353 10.051 0.0001449585 0.0950369195
207.12252 10.344 0.0001449585 0.4661182221
307.11092 12.054 0.0001449585 -0.4872692655
422.92822 10.675 0.0001449585 0.3393617776
172.09669 9.97 0.0001907349 0.4170520444
279.17010 9.088 0.0001907349 0.1388674218
168.07661 2.356 0.0001907349 1.7167429328
335.22869 10.076 0.0002517700 0.5065322057
705.32525 9.166 0.0002517700 1.2851141779
261.14835 12.903 0.0002517700 1.1991289311
255.09499 7.907 0.0002517700 0.2002257857
572.35541 12.497 0.0002517700 2.4924569061
189.04672 0.935 0.0002517700 0.5375189300
272.13379 2.368 0.0002517700 0.3070665719
176.12800 11.055 0.0003280640 0.4718986734
209.03017 5.657 0.0003280640 30.0120387214
245.12827 10.024 0.0003280640 0.0735103783
261.18080 11.062 0.0004196167 1.2173117554
172.09674 10.106 0.0004196167 0.4941942384
102.95673 6.96 0.0004196167 0.0738513090
332.19155 8.904 0.0005340576 0.0580179973
204.15923 8.684 0.0005340576 0.0308243942
640.16271 9.119 0.0005340576 0.3401740415
153.06584 9.4 0.0005340576 0.0752919683
145.07600 10.718 0.0005340576 0.0790419862
219.13381 10.095 0.0005340576 0.7736839132
738.44891 12.651 0.0006713867 0.3819001424
297.98553 8.106 0.0006713867 0.3059720185
128.04530 10.421 0.0006713867 0.0848696320
114.06612 1.012 0.0006713867 0.2746370553
114.09122 5.331 0.0006713867 0.2717819017
191.06619 1.892 0.0006713867 0.3258137172
439.28392 12.663 0.0006713867 1.9551653017
159.05110 3.693 0.0006713867 0.5333265296
145.07600 11.109 0.0006713867 0.1122566705
158.11745 10.092 0.0006713867 0.4836304765
344.20657 10.379 0.0008392334 0.1886809294
480.15680 12.825 0.0008392334 0.5697618173
253.09279 5.964 0.0008392334 0.1747923501
463.48311 1.347 0.0008392334 0.3242627091
370.07357 5.901 0.0008392334 0.4121552295
398.32649 11.304 0.0010452271 0.4543696581
426.21226 8.517 0.0010452271 0.0967613763
221.05066 7.947 0.0010452271 0.2160320544
158.08099 7.879 0.0010452271 0.1091945996
426.21209 8.442 0.0010452271 0.0757195687
174.12357 5.985 0.0010452271 0.2719714499
178.09029 4.179 0.0012893677 0.1469108538
207.07621 8.806 0.0012893677 0.8115922700
705.82720 8.883 0.0012893677 0.2744253608
393.11557 10.785 0.0012893677 0.2022470286
147.05113 9.687 0.0012893677 0.1182944669
276.11887 5.255 0.0012893677 0.2562491976
259.09244 5.411 0.0012893677 0.3531784268
480.00681 6.217 0.0012893677 0.3230382608
104.10691 0.751 0.0012893677 0.5012451555
