"m.z" "r.t" "p.value" "t.score"
146.11750 0.877 0.0312500000 0.0976931902
172.09674 10.106 0.0312500000 0.1989452552
172.09669 9.97 0.0312500000 0.1445240285
257.11322 8.472 0.0312500000 0.0162638378
370.07357 5.901 0.0312500000 0.1888846724
144.06298 0.713 0.0312500000 -0.0382131734
302.01938 5.534 0.0312500000 0.8349334297
272.16433 10.137 0.0312500000 0.0571756942
281.02414 3.841 0.0312500000 0.0279761725
233.09932 6.804 0.0312500000 0.1520896715
276.00377 4.139 0.0312500000 0.3824308161
279.11598 10.313 0.0312500000 -0.0401558660
141.01566 3.755 0.0312500000 0.0430636525
176.12800 11.055 0.0312500000 0.1998483559
705.32528 9.119 0.0312500000 2.3589914492
250.03838 8.012 0.0312500000 0.0330535348
348.10080 8.211 0.0312500000 0.0000000000
233.07664 7.143 0.0312500000 0.0625688683
253.05434 6.017 0.0312500000 0.1474991031
245.16055 5.096 0.0312500000 -0.0752018098
370.07339 6.623 0.0312500000 0.0559560792
99.51218 7.619 0.0312500000 -0.0227307846
187.08647 12.053 0.0312500000 0.0732738359
261.18080 11.062 0.0312500000 0.3314169804
86.05991 1.918 0.0312500000 -0.8758636343
793.36467 9.087 0.0312500000 1.4049213745
440.22751 8.348 0.0312500000 0.1575161722
582.15729 9.277 0.0312500000 0.6421942548
335.22869 10.076 0.0312500000 0.2092774584
793.36499 8.806 0.0312500000 0.8233804437
203.05259 1.204 0.0312500000 -0.1859481846
617.28564 8.799 0.0312500000 0.1811374767
604.13812 8.48 0.0312500000 0.3665953436
287.10956 8.45 0.0312500000 0.0674827687
235.12873 7.948 0.0312500000 0.0831550706
317.05572 7.921 0.0312500000 0.2105782748
255.09499 7.907 0.0312500000 0.0714129351
276.10116 7.893 0.0312500000 0.4899410183
119.52785 7.619 0.0312500000 -0.1832951378
188.06636 9.702 0.0312500000 0.0429632304
583.16022 8.649 0.0312500000 0.7051074727
104.07053 0.875 0.0312500000 0.3223680340
432.27996 10.695 0.0312500000 0.0000000000
322.12982 12.527 0.0312500000 0.0771504872
177.10207 3.9 0.0312500000 0.0247788065
239.09126 11.735 0.0312500000 0.0701300478
223.14409 9.125 0.0312500000 0.3047997266
191.13902 0.914 0.0312500000 0.0831503292
247.18027 8.894 0.0312500000 0.1094279241
221.15347 12.88 0.0312500000 -0.1757851658
240.15945 8.688 0.0312500000 0.4777092270
450.01277 1.949 0.0312500000 0.1159648910
251.17527 9.996 0.0312500000 0.0449573691
134.04472 2.01 0.0312500000 0.4453594827
298.18579 10.238 0.0312500000 1.8608432986
465.12645 12.602 0.0312500000 -26.5989973183
379.19346 9.538 0.0312500000 0.0837457826
208.09662 10.549 0.0312500000 0.0666785364
276.14394 5.173 0.0312500000 0.2597135026
172.07175 9.946 0.0312500000 0.0682227823
207.12252 10.344 0.0312500000 0.1823331131
230.08427 9.943 0.0312500000 0.0319667881
205.06814 1.161 0.0312500000 -0.0341761658
177.08678 6.573 0.0312500000 0.3582045583
289.15454 10.891 0.0312500000 0.2958502011
342.26364 10.588 0.0312500000 1.5135023266
240.11491 9.07 0.0312500000 0.2567064951
520.33185 10.388 0.0312500000 -0.0045481255
174.14874 8.541 0.0312500000 0.0000000000
219.13381 10.095 0.0312500000 0.2716271554
133.08570 7.047 0.0312500000 0.1019203522
291.20673 10.714 0.0312500000 0.3806318337
182.10223 1.084 0.0312500000 0.3199524686
169.09472 0.91 0.0312500000 0.4128225904
158.08099 7.879 0.0312500000 0.0767854298
196.09681 9.124 0.0312500000 0.4521234001
108.04423 11.408 0.0312500000 0.1240303370
277.08920 2.364 0.0312500000 0.0243149197
434.15768 9.106 0.0312500000 0.2523123629
170.11762 6.354 0.0312500000 0.0283148777
642.31799 0.711 0.0312500000 0.1018335023
290.13862 11.042 0.0312500000 0.0000000000
290.13863 10.97 0.0312500000 0.0000000000
307.11091 10.806 0.0312500000 -0.0280357583
158.11745 10.092 0.0312500000 0.1591508146
705.32525 9.166 0.0312500000 2.6194241732
101.01674 5.642 0.0312500000 0.0909330854
87.04396 1.983 0.0312500000 0.4370440661
297.09353 5.148 0.0312500000 0.2335449076
257.02774 4.803 0.0312500000 0.4956601453
518.83193 1.289 0.0312500000 0.3327812398
706.32819 8.954 0.0312500000 1.5661274230
71.01366 1.245 0.0312500000 -0.2327622664
345.07272 11.44 0.0312500000 0.0398892995
310.20133 9.1 0.0312500000 0.0439958745
154.12262 4.195 0.0312500000 0.1087261516
266.06696 10.05 0.0312500000 -27.1419234883
239.01644 1.016 0.0312500000 0.1076608828
239.01650 0.999 0.0312500000 0.1111742114
146.93846 9.294 0.0312500000 -0.2737683026
324.99643 2.073 0.0312500000 0.5536011863
214.08938 9.197 0.0312500000 0.0454189409
139.03992 10.477 0.0312500000 0.2763992854
231.07733 11.943 0.0312500000 0.0292389308
480.85041 0.749 0.0312500000 0.0173771443
333.09137 11.511 0.0312500000 -0.0431482768
356.24314 11.873 0.0312500000 0.0065323451
204.12289 1.12 0.0312500000 0.6770430700
691.06024 9.046 0.0312500000 0.6770064790
324.09111 12.039 0.0312500000 0.0389588459
427.09502 6.181 0.0312500000 0.2910510353
305.09646 11.916 0.0312500000 -0.0378616952
296.95007 11.91 0.0312500000 -2.2046770374
388.25419 9.449 0.0312500000 -0.0013145130
435.19839 11.83 0.0312500000 0.0415628476
388.25410 9.464 0.0312500000 -0.0032204605
88.07559 0.78 0.0312500000 -0.9806161919
229.05791 5.313 0.0312500000 0.0715270424
569.26508 11.514 0.0312500000 -0.1176312574
328.16675 10.866 0.0312500000 0.0550350455
371.17238 10.818 0.0312500000 0.1842319447
345.07263 11.048 0.0312500000 0.1645077865
315.04161 9.833 0.0312500000 -0.0512250929
419.14191 9.659 0.0312500000 -0.3107342455
168.07661 2.356 0.0312500000 1.6966221863
191.99763 10.928 0.0312500000 0.1251634920
256.16943 9.741 0.0312500000 0.0917658863
263.17526 10.779 0.0312500000 0.0898796005
705.82720 8.883 0.0312500000 0.1403509878
612.85868 0.702 0.0312500000 0.3210841628
307.11092 12.054 0.0312500000 -0.3027163270
279.11602 12.082 0.0312500000 0.1330207556
295.07913 5.605 0.0312500000 0.0721598185
300.20181 8.715 0.0312500000 0.0021101368
233.16465 9.864 0.0312500000 0.0741721231
264.12424 11.817 0.0312500000 0.9817565356
261.14835 12.903 0.0312500000 0.3295926437
111.08028 10.089 0.0312500000 0.0910410700
153.06584 9.4 0.0312500000 0.0179479257
273.15962 10.88 0.0312500000 0.2317701347
582.15788 10.23 0.0312500000 0.5762287925
308.20093 9.228 0.0312500000 0.2881991203
275.21163 9.852 0.0312500000 0.3468696508
147.05113 9.687 0.0312500000 0.0739959888
105.05448 1.968 0.0312500000 1.0930692990
263.12129 11.682 0.0312500000 1.7833426343
401.24885 9.151 0.0312500000 0.5494521629
133.09701 9.684 0.0312500000 0.5105348195
437.21277 12.146 0.0312500000 0.0451521706
88.03921 2.029 0.0312500000 0.3327215676
471.19640 11.271 0.0312500000 0.0000000000
131.08252 0.985 0.0312500000 0.3646724139
549.21370 9.63 0.0312500000 -0.3587175037
346.08652 8.44 0.0312500000 -0.5806761322
202.01221 0.86 0.0312500000 0.4915927281
