"m.z" "r.t" "p.value" "t.score"
116.92850 12.983 0.0000000005 29.2235592516
170.11762 6.354 0.0000000002 0.0997527872
348.10080 8.211 0.0000000003 -0.4336417941
268.15443 8.687 0.0000000013 0.0000000000
118.05098 0.862 0.0000000022 0.3668718956
229.05791 5.313 0.0000000045 0.2791713401
245.16055 5.096 0.0000000162 -0.1858935833
291.20673 10.714 0.0000000183 0.0000000000
242.13058 8.916 0.0000000206 -28.4118662288
264.12424 11.817 0.0000000231 0.0000000000
297.09353 5.148 0.0000000327 25.6360780952
506.20748 7.308 0.0000000327 3.5880412313
275.21163 9.852 0.0000000411 30.2166428365
289.15454 10.891 0.0000000411 26.4048198874
295.07913 5.605 0.0000000462 0.2417710913
202.01221 0.86 0.0000000583 0.2924265196
261.18080 11.062 0.0000000573 0.6630532380
326.23230 10.263 0.0000000711 -0.9119360946
604.13812 8.48 0.0000000791 26.9113093423
186.11247 5.226 0.0000000791 0.1053299265
346.08652 8.44 0.0000001023 -0.2593606751
288.00378 4.675 0.0000000978 0.0000000000
228.07861 8.707 0.0000001635 -0.1345482191
240.15945 8.688 0.0000001997 -0.1482386935
279.11602 12.082 0.0000001997 0.9569782692
343.12322 5.46 0.0000001997 1.7960210463
154.12262 4.195 0.0000002205 0.0779594985
220.98079 11.494 0.0000002939 -0.3586859173
324.99643 2.073 0.0000003594 0.4987891097
160.13313 0.929 0.0000003933 -0.2970476220
307.11091 10.806 0.0000003933 -0.1071351098
168.07661 2.356 0.0000006253 27.1542715098
210.06989 1.178 0.0000007095 -0.3686223748
307.11092 12.054 0.0000008197 -0.4495188705
101.01674 5.642 0.0000008197 0.9700268705
174.14874 8.541 0.0000008961 -0.3879047347
305.09646 11.916 0.0000012372 -0.1129433364
231.06209 9.352 0.0000014815 1.8140525864
793.36499 8.806 0.0000016444 0.2758527821
233.10721 6.699 0.0000019462 -0.1489596481
253.05434 6.017 0.0000019462 0.6256798624
706.32819 8.954 0.0000021157 1.6920339352
321.89751 4.849 0.0000021090 0.9986049839
146.11750 0.877 0.0000024962 -0.2101386971
333.09137 11.511 0.0000035206 -0.1225727836
120.06550 0.875 0.0000034538 0.2542806178
206.10339 0.808 0.0000035206 -0.3206825734
445.81506 12.734 0.0000037413 -26.1599472390
287.07730 9.604 0.0000038271 0.5936811000
191.99763 10.928 0.0000040508 0.4926633329
273.15962 10.88 0.0000043838 0.6692189908
279.11598 10.313 0.0000051270 -0.1041008922
464.08922 11.123 0.0000053162 -0.3252276671
360.02505 8.292 0.0000059851 -0.1808370195
384.12233 6.947 0.0000059851 -0.1682357850
263.12129 11.682 0.0000064623 0.0000000000
187.08647 12.053 0.0000075237 0.3705149209
290.13862 11.042 0.0000117510 -1.5962171595
206.10331 0.816 0.0000125995 -0.3181137840
172.07175 9.946 0.0000146035 0.3264757592
158.04011 0.897 0.0000168464 -0.5034551667
206.02797 12.026 0.0000183090 0.1672452493
691.06024 9.046 0.0000183090 0.1440302084
155.15427 5.154 0.0000194030 -0.1921623356
450.01277 1.949 0.0000223132 0.3514826295
162.07700 0.889 0.0000227926 -0.3564310823
371.17238 10.818 0.0000244984 0.4983313456
226.12834 4.744 0.0000256209 -0.1680962209
290.13863 10.97 0.0000293749 -0.7274082588
176.12800 11.055 0.0000438868 0.3525652566
182.10223 1.084 0.0000468657 -0.3248078271
480.00681 6.217 0.0000500293 0.3425139567
412.19637 8.44 0.0000500293 -0.1204587068
289.22728 9.974 0.0000533881 1.1132261050
144.06298 0.713 0.0000533881 -0.1032577609
160.84199 11.608 0.0000527687 0.1561408715
262.18017 8.577 0.0000607351 -0.0389576358
253.09279 5.964 0.0000603646 0.1312626711
617.28564 8.799 0.0000607351 0.1797320372
162.83902 11.979 0.0000645272 -0.1953912119
213.12320 2.188 0.0000647467 0.1843428648
207.14907 8.611 0.0000647467 0.2834710391
377.91455 5.802 0.0000645272 -0.0529426802
102.95671 8.75 0.0000645272 -0.2067648999
698.16820 9.398 0.0000690002 -0.2636277069
305.22233 11.03 0.0000782860 0.3633323296
235.12873 7.948 0.0000782860 0.2723386683
276.13611 4.661 0.0000782860 -0.0438479561
189.13456 6.238 0.0000833465 0.2180690138
423.12576 9.396 0.0000839466 0.0661151521
471.19640 11.271 0.0000943784 -0.3053865317
209.06651 1.5 0.0000955432 -0.3041966094
119.52785 7.619 0.0001134517 -0.2293711458
219.13381 10.095 0.0001134517 0.5064450503
321.89743 5.763 0.0001157061 -0.0482706087
440.22751 8.348 0.0001280624 0.3176861645
165.06909 3.268 0.0001625699 -0.0727984592
231.08377 4.726 0.0001724313 -0.2348075323
250.18018 7.42 0.0001724313 -0.1079665744
260.16772 11.756 0.0001828363 -0.2894843812
269.12445 6.202 0.0002053853 -0.2900056598
165.07559 2.494 0.0002053853 -0.2183071949
572.35541 12.497 0.0002053853 0.5677943532
302.01938 5.534 0.0002175863 0.8412987565
158.11745 10.092 0.0002304451 0.4286241067
335.22869 10.076 0.0002582638 0.5070645905
377.91489 4.919 0.0002717470 0.4140799431
278.17495 7.936 0.0002732909 -0.0535328921
