"m.z" "r.t" "p.value" "t.score"
297.09353 5.148 0.0000000002 1.4900628744
343.12322 5.46 0.0000000011 1.3238386834
263.12129 11.682 0.0000000008 28.8028098514
348.10080 8.211 0.0000000013 -0.6474562642
295.07913 5.605 0.0000000004 0.2053003649
264.12424 11.817 0.0000000013 27.3697443996
365.10535 5.437 0.0000000009 0.5498341258
253.05434 6.017 0.0000000023 0.4589510581
276.10116 7.893 0.0000000046 0.7150058750
604.13812 8.48 0.0000000046 1.5923727503
101.01674 5.642 0.0000000054 0.8047129203
291.20673 10.714 0.0000000117 29.4270141721
174.14874 8.541 0.0000000136 -0.4945847158
168.07661 2.356 0.0000000181 1.4321037426
261.18080 11.062 0.0000000240 0.8959231571
691.06024 9.046 0.0000000314 0.2720296376
116.92850 12.983 0.0000000633 1.1527524953
288.00378 4.675 0.0000000696 3.4621757550
289.15454 10.891 0.0000000696 0.8693607619
279.11602 12.082 0.0000000789 0.5404029939
275.21163 9.852 0.0000000894 1.0937363020
307.11092 12.054 0.0000001143 -0.5613082908
242.13058 8.916 0.0000001290 -28.0094252540
139.03992 10.477 0.0000001390 0.1655719178
229.05791 5.313 0.0000002282 0.1785365572
174.12357 5.985 0.0000002601 0.2785925057
207.14907 8.611 0.0000004063 0.2300388922
321.89751 4.849 0.0000004627 0.5644868103
371.17238 10.818 0.0000005184 0.3901788074
450.01277 1.949 0.0000006941 0.3568483990
289.22728 9.974 0.0000008545 0.5944436448
191.99763 10.928 0.0000008545 0.3809879601
305.22233 11.03 0.0000008545 0.3273897894
326.23230 10.263 0.0000009468 -1.2766927662
464.08922 11.123 0.0000011171 -0.3987425449
307.11093 11.428 0.0000011597 0.1450618796
335.19002 11.609 0.0000011597 0.4404931313
257.11322 8.472 0.0000014158 0.0488746477
428.05961 8.554 0.0000020906 1.5344619469
187.08647 12.053 0.0000023003 0.2898457333
706.32819 8.954 0.0000030509 1.7444522954
220.98079 11.494 0.0000030936 -0.5513369994
506.20748 7.308 0.0000036700 1.0507081086
480.00681 6.217 0.0000048179 0.2970960728
176.12800 11.055 0.0000052685 0.4558057015
253.09279 5.964 0.0000054851 0.2411651806
119.52785 7.619 0.0000062881 -0.2742015691
170.11762 6.354 0.0000068633 0.0571726204
285.97708 9.15 0.0000094782 0.2160340423
213.12320 2.188 0.0000114582 0.2301117733
793.36499 8.806 0.0000146905 0.2514778196
186.11247 5.226 0.0000172897 0.0779508243
290.15961 6.066 0.0000172897 0.6323575888
302.01938 5.534 0.0000219874 0.3142332322
255.13494 9.538 0.0000223980 0.3836110532
226.09353 10.051 0.0000237967 0.0666144012
317.14536 3.942 0.0000237967 0.1932637051
377.91489 4.919 0.0000243291 0.2389079692
206.02797 12.026 0.0000264116 0.2459532986
154.12262 4.195 0.0000257416 0.0773972734
273.15962 10.88 0.0000257416 0.5774744914
321.89737 5.269 0.0000264116 0.1116624768
