"m.z" "r.t" "p.value" "t.score"
172.09669 9.97 0.0000000075 0.3142359957
233.16465 9.864 0.0000000075 0.2198717730
288.00378 4.675 0.0000000075 1.3120825214
251.17527 9.996 0.0000000075 0.1283957261
172.07175 9.946 0.0000000075 0.1928522756
289.22728 9.974 0.0000000075 0.4122022370
349.24438 10.041 0.0000000149 0.1036803109
275.21163 9.852 0.0000000149 0.6834693046
188.06636 9.702 0.0000000373 0.0998368988
207.12252 10.344 0.0000000373 0.3427788612
111.08028 10.089 0.0000000522 0.1955755712
289.15454 10.891 0.0000000522 0.5941588905
245.12827 10.024 0.0000000745 0.0988795426
291.20673 10.714 0.0000000745 1.2093556254
191.99763 10.928 0.0000000745 0.2662537653
371.17238 10.818 0.0000000745 0.3013326489
317.14938 10.984 0.0000001043 0.0947002426
172.09674 10.106 0.0000001416 0.4252964871
253.05434 6.017 0.0000001416 0.2913832224
287.10956 8.45 0.0000001416 0.1446271028
273.15962 10.88 0.0000002459 0.4881502165
286.20099 9.676 0.0000003204 0.3024263632
158.11745 10.092 0.0000003204 0.4600966048
174.04068 9.047 0.0000003725 0.4342229909
264.19561 6.634 0.0000004098 0.1493985509
335.22869 10.076 0.0000004098 0.4161793447
207.14907 8.611 0.0000005215 0.1728229867
128.04530 10.421 0.0000006557 0.0796393988
191.10249 10.256 0.0000006557 0.1770703799
219.13381 10.095 0.0000008196 0.6825668706
305.06317 10.048 0.0000008196 0.0830978763
286.20103 9.535 0.0000008196 0.2698033732
272.20084 10.484 0.0000008196 0.0886867703
116.92850 12.983 0.0000008196 0.5174880208
269.08780 10.595 0.0000010207 0.1401033815
264.12424 11.817 0.0000012591 4.1935986493
297.09353 5.148 0.0000015423 0.7554466013
440.22751 8.348 0.0000015423 0.2606735985
207.07621 8.806 0.0000018850 0.4623904927
230.08427 9.943 0.0000018850 0.0775119059
272.13379 2.368 0.0000018850 0.1772623931
279.11602 12.082 0.0000018850 0.4064405388
261.18080 11.062 0.0000022873 1.0226499854
229.05791 5.313 0.0000025183 0.1915022807
324.99643 2.073 0.0000025183 0.4788141242
328.16675 10.866 0.0000025183 0.1156378690
344.20657 10.379 0.0000033304 0.1604310072
176.12800 11.055 0.0000033304 0.4566398610
186.11234 2.243 0.0000039935 0.5380034428
291.20654 9.885 0.0000039935 0.0560111794
445.81506 12.734 0.0000039935 0.0000000000
208.09662 10.549 0.0000039935 0.1428305686
242.98246 7.374 0.0000039935 0.3736124737
161.09203 4.717 0.0000039935 0.3434561691
276.10116 7.893 0.0000047684 0.4535529686
305.14947 10.889 0.0000047684 0.1540586973
147.05113 9.687 0.0000047684 0.1218442366
217.11826 7.86 0.0000047684 0.3516064033
91.05396 10.004 0.0000056773 0.0737756641
263.12129 11.682 0.0000056773 3.6984494598
101.01674 5.642 0.0000067353 0.4401711261
114.09122 5.331 0.0000067353 0.2450967668
349.08928 10.373 0.0000067353 0.2023057474
363.16229 10.301 0.0000067353 0.2228121708
305.22233 11.03 0.0000079647 0.1532772688
302.01938 5.534 0.0000079647 0.5788538258
572.35541 12.497 0.0000079647 0.9374025382
226.09353 10.051 0.0000079647 0.0871769320
91.05396 9.695 0.0000079647 0.0688848002
233.09932 6.804 0.0000079647 0.1957217875
272.16433 10.137 0.0000079647 0.1569985225
256.16943 9.741 0.0000093952 0.1733263160
128.04539 9.945 0.0000093952 0.0911373366
361.18300 10.229 0.0000110492 0.4483612742
604.13812 8.48 0.0000129491 0.7333813387
196.09662 9.84 0.0000129491 0.1139052096
168.07661 2.356 0.0000151396 1.0332344560
119.52785 7.619 0.0000151396 -0.2600082836
154.12262 4.195 0.0000151396 0.0624105695
243.13377 10.443 0.0000151396 0.2669727349
295.07913 5.605 0.0000159293 0.1334050583
345.07272 11.44 0.0000159293 0.0755323932
220.14418 9.691 0.0000176504 0.0808408315
187.08647 12.053 0.0000205189 0.2455317415
219.12255 11.03 0.0000205189 0.5420898672
506.20748 7.308 0.0000205189 0.4944066766
317.14536 3.942 0.0000205189 0.2254838647
119.08140 9.653 0.0000238046 0.2001225264
324.19171 10.394 0.0000317991 0.1756624829
450.01277 1.949 0.0000317991 0.2780978208
178.09029 4.179 0.0000317991 0.1376684229
345.07263 11.048 0.0000352263 0.2388996726
310.11444 1.459 0.0000352263 0.1903648803
310.11444 1.452 0.0000352263 0.1896574863
263.17526 10.779 0.0000366345 0.2193225333
131.54204 0.971 0.0000366345 0.2854562944
617.28564 8.799 0.0000366345 0.1892506265
332.24300 9.924 0.0000421107 0.1891330791
204.12289 1.12 0.0000421107 0.3707483080
134.04472 2.01 0.0000483021 0.3501658461
286.17993 9.975 0.0000483021 0.0726251995
229.15463 3.876 0.0000552982 0.1833607700
346.08652 8.44 0.0000633150 -0.4633105882
261.14835 12.903 0.0000631809 0.5495279737
99.09158 0.871 0.0000631809 -0.5512200562
401.24885 9.151 0.0000631809 0.1194901978
793.36499 8.806 0.0000631809 0.2450122277
159.05110 3.693 0.0000631809 0.3222081243
247.18027 8.894 0.0000720471 0.1511517248
170.11762 6.354 0.0000820160 0.0525346883
180.10164 9.656 0.0000820160 0.0781794529
343.12322 5.46 0.0000931919 0.3256931955
174.12357 5.985 0.0001057014 0.2683900936
348.10080 8.211 0.0001057014 -27.0811037227
88.03921 2.029 0.0001197010 0.2508946458
216.06872 8.046 0.0001197010 0.1019616664
309.12663 11.904 0.0001353249 0.1549898601
706.32819 8.954 0.0001353249 1.0156198468
139.03992 10.477 0.0001427829 0.1346846848
333.11538 10.392 0.0001527369 1.1434417569
694.92303 12.344 0.0001527369 0.1091711721
311.15530 10.615 0.0001527369 0.0515905597
321.89751 4.849 0.0001623929 0.4086778621
209.03017 5.657 0.0001623929 1.5161364140
255.09499 7.907 0.0001721308 0.1161021464
567.39009 0.618 0.0001936853 -0.1986486392
276.00377 4.139 0.0001936853 0.1444164051
557.34613 12.217 0.0001936853 0.0778567151
302.01923 4.916 0.0001936853 0.4858892646
242.98224 6.978 0.0002441406 0.3830932096
480.15680 12.825 0.0002441406 0.3772337858
259.09244 5.411 0.0002441406 0.3762299573
152.05663 10.045 0.0002441406 0.1534635457
229.11827 0.988 0.0002441406 0.5502935927
203.04007 4.18 0.0002441406 0.2902993194
422.92822 10.675 0.0002735108 0.2416739145
756.24129 8.822 0.0002735108 0.2057112047
524.15241 10.436 0.0003059804 0.1300462180
407.18846 10.548 0.0003059804 0.4151066646
186.11247 5.226 0.0003059804 0.0614819157
406.07755 8.931 0.0003418475 0.1416414643
409.08652 10.494 0.0003418475 0.1744891915
705.32528 9.119 0.0003418475 0.2045274742
133.09701 9.684 0.0003814027 0.2011536493
439.28392 12.663 0.0003814027 0.3633066674
281.02414 3.841 0.0003814027 0.0325612310
165.07559 2.494 0.0003814027 -0.3557900472
145.09707 0.931 0.0003814027 0.4166136758
480.00681 6.217 0.0003814027 0.2506024648
393.11557 10.785 0.0004249662 0.1396529402
242.98245 7.562 0.0004249662 0.2953227681
705.32525 9.166 0.0004729033 0.2318987003
191.06606 11.966 0.0004729033 0.1043450509
276.00379 4.592 0.0004729033 0.1536429185
304.15421 10.089 0.0004729033 0.0820013606
277.08920 2.364 0.0005255789 0.0387726036
793.36467 9.087 0.0005833879 0.2641078529
115.07521 4.193 0.0005833879 0.1511017563
206.02797 12.026 0.0005984902 0.1530036814
177.10193 10.234 0.0006467849 0.0525392398
307.16514 10.397 0.0006467849 0.2357244547
158.09236 9.95 0.0007162094 0.0533564096
437.21277 12.146 0.0007162094 0.1319490592
141.01566 3.755 0.0007162094 0.0818261897
309.18085 10.921 0.0007162094 0.1272764535
258.11248 9.938 0.0007162094 0.0296106856
203.04026 4.626 0.0007162094 0.3403080604
132.03019 2.166 0.0007440150 0.4078361747
358.25885 9.566 0.0007921457 0.2057552605
211.10753 8.605 0.0007921457 0.2661157213
195.11263 6.089 0.0008751452 0.1127000956
310.17598 10.833 0.0008751452 0.4534026818
640.16271 9.119 0.0008751452 0.2126159060
370.07339 6.623 0.0008751452 0.0959239740
370.07357 5.901 0.0008751452 0.4092405629
113.03078 1.938 0.0009657368 0.7185330355
738.44891 12.651 0.0009657368 0.2008027096
299.01967 4.218 0.0010645166 0.3708321586
170.15375 8.756 0.0010645166 0.0469252533
113.03080 1.937 0.0010645166 0.7355772451
