"m.z" "r.t" "p.value" "t.score"
286.20103 9.535 0.0019531250 0.0923943641
289.22728 9.974 0.0019531250 0.1049940248
286.20099 9.676 0.0019531250 0.0892319886
188.06636 9.702 0.0019531250 0.0505406778
264.19561 6.634 0.0019531250 0.0647910155
370.07339 6.623 0.0019531250 0.0336382548
255.09499 7.907 0.0019531250 0.0423305081
520.33185 10.388 0.0019531250 -0.0032996478
233.16465 9.864 0.0019531250 0.0652990379
243.13377 10.443 0.0019531250 0.0735509417
289.15454 10.891 0.0019531250 0.1849414125
219.13381 10.095 0.0019531250 0.1750618000
263.12129 11.682 0.0019531250 1.0880864599
111.08028 10.089 0.0019531250 0.0547752082
291.20673 10.714 0.0019531250 0.3036664943
261.18080 11.062 0.0019531250 0.1717281436
275.21163 9.852 0.0019531250 0.2497051421
450.01277 1.949 0.0019531250 0.1090524457
297.09353 5.148 0.0019531250 0.1756716882
130.08608 3.859 0.0019531250 0.1196152548
264.12424 11.817 0.0019531250 0.6344407286
335.22869 10.076 0.0019531250 0.1417259155
793.36467 9.087 0.0019531250 0.3136224648
172.09669 9.97 0.0019531250 0.1000641180
172.09674 10.106 0.0019531250 0.1350709708
101.01674 5.642 0.0019531250 0.0954032656
207.12252 10.344 0.0019531250 0.0852063569
133.08570 7.047 0.0019531250 0.0672082632
349.24438 10.041 0.0039062500 0.0173878675
321.89751 4.849 0.0039062500 0.1155639205
259.09244 5.411 0.0039062500 0.3033798285
487.03583 1.444 0.0039062500 -0.2395011309
253.09279 5.964 0.0039062500 0.0571257113
285.97708 9.15 0.0039062500 0.1432355830
158.11745 10.092 0.0039062500 0.1405139489
116.92850 12.983 0.0039062500 0.1821812189
245.16055 5.096 0.0039062500 -0.0423960269
328.16675 10.866 0.0039062500 0.0361016701
371.17238 10.818 0.0039062500 0.0666549891
295.07913 5.605 0.0039062500 0.0554415757
348.10080 8.211 0.0039062500 0.0000000000
346.08652 8.44 0.0039062500 -0.3185056961
185.09192 7.552 0.0039062500 -0.7565560705
206.02797 12.026 0.0039062500 0.0317665389
493.13580 8.792 0.0058593750 0.1995176435
242.13058 8.916 0.0058593750 -1.6539200998
191.98266 0.935 0.0058593750 0.1989696966
251.17527 9.996 0.0058593750 0.0695963643
549.21370 9.63 0.0078125000 -1.1433908675
139.03992 10.477 0.0078125000 0.0746731120
149.04539 1.234 0.0078125000 -0.3042110699
160.84199 11.608 0.0078125000 0.0505899461
261.14835 12.903 0.0097656250 0.3463763660
219.12255 11.03 0.0097656250 1.0718250474
189.04672 0.935 0.0097656250 0.6315315317
437.21277 12.146 0.0097656250 0.0534258474
279.11602 12.082 0.0097656250 0.1537787647
175.05762 0.989 0.0097656250 0.3178976649
356.24314 11.873 0.0097656250 0.0050284193
187.08647 12.053 0.0097656250 0.1058109637
170.11762 6.354 0.0097656250 0.0173562755
612.36945 9.954 0.0097656250 0.1484092276
172.07175 9.946 0.0097656250 0.0400024093
118.05098 0.862 0.0117187500 0.2004529864
220.98079 11.494 0.0117187500 0.0000000000
102.95671 8.75 0.0117187500 0.1205863896
180.05942 1.204 0.0117187500 -0.3080492465
255.04659 1.162 0.0136718750 0.2271300606
151.06264 11.301 0.0136718750 0.0646809161
279.18024 10.347 0.0136718750 -0.0061318117
273.15962 10.88 0.0136718750 0.1147293200
507.57935 0.991 0.0136718750 -0.2581735242
201.02649 10.16 0.0195312500 -0.1265097025
296.95007 11.91 0.0195312500 -0.2799181155
208.09662 10.549 0.0195312500 0.0838789579
266.06696 10.05 0.0195312500 -1.9357109389
209.03017 5.657 0.0195312500 0.7099747307
461.80297 1.263 0.0195312500 0.9997727509
289.06771 9.654 0.0195312500 -1.8668493809
322.12982 12.527 0.0195312500 0.0971027567
508.01346 5.713 0.0195312500 0.0331314027
272.13379 2.368 0.0195312500 0.1820641767
174.14874 8.541 0.0195312500 -0.4885581192
157.06169 4.523 0.0195312500 0.2344583411
113.02429 0.991 0.0195312500 -0.1045872272
143.03486 0.991 0.0195312500 -0.1652730589
176.12800 11.055 0.0195312500 0.1152906714
343.12322 5.46 0.0195312500 0.3440569114
143.03486 0.991 0.0195312500 -0.1652730589
143.03485 0.992 0.0195312500 -0.1652730589
349.60466 1.028 0.0273437500 0.1386526662
71.01366 1.245 0.0273437500 -0.2717074639
333.09137 11.511 0.0273437500 -0.0254754778
307.11092 12.054 0.0273437500 -0.1756564394
480.85041 0.749 0.0273437500 0.0157674452
171.02739 2.092 0.0273437500 0.5351954263
101.02432 0.988 0.0273437500 -0.0799785003
196.09662 9.84 0.0273437500 0.0523634261
509.38014 12.432 0.0273437500 0.0881970535
305.09646 11.916 0.0273437500 -0.0340605715
89.02439 1.449 0.0273437500 -0.2340204563
161.04543 0.992 0.0273437500 -0.1164401768
389.16269 10.288 0.0273437500 0.0459464218
104.10691 0.751 0.0273437500 0.2453689899
141.01566 3.755 0.0273437500 0.0342037144
361.18300 10.229 0.0371093750 0.1600482733
231.08377 4.726 0.0371093750 -0.6473476364
128.04539 9.945 0.0371093750 0.0888697194
307.11085 12.348 0.0371093750 0.1053550968
445.81506 12.734 0.0371093750 0.0000000000
147.05113 9.687 0.0371093750 0.0664797613
572.35541 12.497 0.0371093750 0.4495212449
177.10193 10.234 0.0371093750 0.0808710324
480.00681 6.217 0.0371093750 0.0879876103
111.02019 7.619 0.0371093750 0.0252304229
129.06569 0.987 0.0371093750 0.2277199774
276.14394 5.173 0.0371093750 0.1384619109
412.30566 11.373 0.0371093750 0.0894614243
453.18585 12.336 0.0371093750 0.0745167716
101.02426 1.2 0.0390625000 -0.2858689034
119.03487 0.991 0.0390625000 -0.1211046369
217.06176 9.907 0.0390625000 0.2144976132
269.08778 1.414 0.0390625000 -0.3012861323
225.06165 1.205 0.0390625000 -0.3365837443
419.14191 9.659 0.0390625000 -0.4172645241
340.26912 12.54 0.0488281250 0.0939156524
226.12834 4.744 0.0488281250 -0.5626724297
269.08780 10.595 0.0488281250 0.0764761950
72.08071 0.917 0.0488281250 0.1519092509
233.10721 6.699 0.0488281250 -0.0294124075
137.04564 10.098 0.0488281250 0.2453723269
314.18103 9.232 0.0488281250 -0.0336858788
360.02505 8.292 0.0488281250 -0.0805563906
396.31046 11.517 0.0488281250 0.0771779322
107.04896 8.69 0.0488281250 0.1946589536
344.20657 10.379 0.0488281250 0.0273393200
281.02414 3.841 0.0488281250 0.0164090586
235.12873 7.948 0.0488281250 0.0380433733
315.04161 9.833 0.0546875000 -0.1178222433
315.04162 10.418 0.0546875000 -0.0608396582
778.20494 9.657 0.0546875000 -0.2191075192
115.03993 0.99 0.0546875000 -0.1009431110
239.01644 1.016 0.0546875000 0.1369910693
445.07303 5.714 0.0546875000 0.0365721027
239.01650 0.999 0.0546875000 0.1413794482
131.03477 0.991 0.0546875000 -0.0682119095
255.13494 9.538 0.0546875000 0.1887138949
190.11859 1.167 0.0644531250 0.1849236051
91.50454 9.41 0.0644531250 0.0849626259
349.08928 10.373 0.0644531250 0.0337927393
195.11263 6.089 0.0644531250 0.0214388205
376.21774 9.262 0.0644531250 0.0442784644
780.21894 9.092 0.0644531250 0.1528677374
449.30468 12.874 0.0644531250 0.1156302324
79.51944 1.507 0.0644531250 0.3183978021
90.52582 0.761 0.0644531250 0.1979105959
233.09932 6.804 0.0644531250 0.0643880208
632.05540 0.993 0.0644531250 -0.1994506636
175.09635 5.995 0.0644531250 0.0976183136
166.08610 7.964 0.0644531250 0.0333256539
632.05529 1.0 0.0644531250 -0.2505054535
235.96117 3.8 0.0644531250 0.0440718008
92.52214 1.525 0.0644531250 0.3132985690
145.08582 10.901 0.0644531250 0.4777081721
310.21667 9.245 0.0644531250 0.0080337906
239.14878 8.324 0.0644531250 0.0767338987
114.09122 5.331 0.0644531250 0.1889837042
257.11322 8.472 0.0644531250 0.0086295803
276.11887 5.255 0.0644531250 0.1127284785
440.22751 8.348 0.0644531250 0.1217825997
214.08938 9.197 0.0644531250 0.0632416349
427.09502 6.181 0.0644531250 0.1038489497
506.20748 7.308 0.0839843750 0.1708602592
207.07621 8.806 0.0839843750 0.1571873992
316.04490 10.475 0.0742187500 -0.0062284041
147.11266 1.298 0.0839843750 0.1978989224
377.91489 4.919 0.0742187500 0.0828888875
108.04423 11.408 0.0839843750 0.1372371033
288.00378 4.675 0.0839843750 0.6543594296
276.00377 4.139 0.0839843750 0.1796840997
317.14536 3.942 0.0839843750 0.1992688546
212.11807 9.798 0.0839843750 0.1621967142
113.03080 1.937 0.0839843750 0.1415611672
268.15443 8.687 0.0839843750 0.0000000000
308.18542 9.698 0.0839843750 0.0249472726
286.17993 9.975 0.0839843750 0.0654898742
158.08099 7.879 0.0839843750 0.0242818725
191.08147 10.173 0.0839843750 -0.1887489141
407.18846 10.548 0.0839843750 0.1187970614
132.10186 1.065 0.0839843750 0.2469098165
185.00655 4.81 0.0742187500 -29.3861407876
530.20775 7.351 0.0839843750 0.0244734127
464.08922 11.123 0.0742187500 -0.1267449177
617.28564 8.799 0.0839843750 0.1257822186
437.29077 11.98 0.0742187500 -0.0312277510
388.25410 9.464 0.0839843750 -0.0017377367
164.95691 2.482 0.0742187500 0.0677800426
264.17474 9.936 0.0839843750 0.2548050764
102.01944 2.648 0.0742187500 0.1647148072
300.20181 8.715 0.0839843750 0.0010395723
446.29603 10.761 0.0839843750 0.0129708491
119.52785 7.619 0.0839843750 -0.0617129113
201.03806 1.449 0.0742187500 -0.3409845257
290.13862 11.042 0.0839843750 0.0000000000
476.30655 10.048 0.0839843750 -0.0007684038
490.28535 11.201 0.0839843750 0.8296083736
307.11093 11.428 0.1054687500 0.0629176043
257.02774 4.803 0.0976562500 0.0000000000
344.22784 9.107 0.1054687500 -0.0010638128
296.20090 9.244 0.1054687500 0.0382984997
146.96100 1.206 0.0976562500 -0.0615371573
136.04800 1.494 0.1054687500 0.1921181063
113.03078 1.938 0.1054687500 0.1415099867
272.20084 10.484 0.1054687500 0.0435233486
191.10249 10.256 0.1054687500 0.1135359699
198.09718 1.002 0.1054687500 -0.2178498385
604.13812 8.48 0.1054687500 0.2776237699
276.00379 4.592 0.1054687500 0.1441264580
287.10956 8.45 0.1054687500 0.0487900884
370.07357 5.901 0.1054687500 0.1807301680
86.09628 1.047 0.1054687500 0.2499161621
178.09029 4.179 0.1054687500 0.0588886819
86.09634 1.065 0.1054687500 0.2515489635
247.18027 8.894 0.1054687500 0.0287573930
738.44891 12.651 0.1054687500 0.3054669608
161.04539 1.564 0.0976562500 -0.1026474326
314.18103 9.221 0.1054687500 -0.0336551182
