"m.z" "r.t" "p.value" "t.score"
202.01221 0.86 0.0001220703 0.2804623248
506.20748 7.308 0.0001220703 0.0000000000
172.09669 9.97 0.0001220703 0.9539900173
287.07730 9.604 0.0000610352 0.2262184663
490.28535 11.201 0.0000610352 0.0000000000
572.35541 12.497 0.0001220703 1.4438265706
245.16055 5.096 0.0001220703 -0.0919876828
480.15680 12.825 0.0001220703 0.0000000000
330.91568 12.664 0.0001220703 0.1132413570
690.50885 12.897 0.0001220703 0.3774721188
451.21470 10.875 0.0001220703 0.2336221490
377.14150 10.798 0.0001220703 0.0000000000
139.03992 10.477 0.0000610352 0.2348795006
232.05761 9.265 0.0000610352 0.0197026990
172.07175 9.946 0.0000610352 0.0226298824
393.11557 10.785 0.0001220703 0.2528810285
548.29046 12.305 0.0001220703 0.6440654577
253.09279 5.964 0.0000610352 28.4907055950
276.10116 7.893 0.0001831055 2.7594296075
489.16273 12.42 0.0001831055 0.1850582396
207.07621 8.806 0.0001831055 0.0000000000
335.22869 10.076 0.0001831055 5.6855765786
207.12252 10.344 0.0001831055 2.4489601661
349.08928 10.373 0.0003051758 0.2908199116
172.09674 10.106 0.0003051758 3.0214734223
294.14084 3.52 0.0003051758 -0.2090969910
343.12322 5.46 0.0003051758 2.1371645120
464.08922 11.123 0.0003051758 -0.2629075841
229.05791 5.313 0.0003051758 0.2504732471
245.12827 10.024 0.0003051758 0.0753826612
348.10080 8.211 0.0003051758 -2.0682834799
174.08828 0.997 0.0003051758 0.3090957181
191.99763 10.928 0.0003051758 1.3337998755
289.22728 9.974 0.0003051758 0.9236891875
256.16943 9.741 0.0003051758 0.1951078111
158.11745 10.092 0.0004272461 1.7657572674
295.07913 5.605 0.0004272461 0.1344081440
263.12129 11.682 0.0004272461 2.4455806072
371.17238 10.818 0.0004272461 0.3818758327
174.14874 8.541 0.0004272461 0.0000000000
219.13381 10.095 0.0004272461 27.9261977353
333.11538 10.392 0.0004272461 0.0000000000
324.99643 2.073 0.0006103516 0.7817612123
261.18080 11.062 0.0006103516 26.6611714083
187.08647 12.053 0.0006103516 0.1589686988
111.02000 9.054 0.0006103516 0.2049709220
230.98854 11.635 0.0006103516 0.1475656809
264.12424 11.817 0.0006103516 1.1844859877
328.16675 10.866 0.0006103516 0.1342595252
176.12800 11.055 0.0006103516 3.3338000090
251.17527 9.996 0.0006103516 0.1320433530
128.04539 9.945 0.0006103516 0.0317060651
349.24438 10.041 0.0008544922 0.1106665827
437.21277 12.146 0.0008544922 0.2135220977
604.13812 8.48 0.0008544922 28.3153957892
309.12663 11.904 0.0008544922 0.2089332966
407.18846 10.548 0.0008544922 1.1107724776
307.11092 12.054 0.0008544922 -0.4192460570
220.98079 11.494 0.0008544922 -0.0354558724
247.14414 10.417 0.0008544922 -0.4596062842
449.30468 12.874 0.0008544922 0.5570272983
255.13494 9.538 0.0008544922 0.8646572464
264.19561 6.634 0.0008544922 0.0000000000
432.04721 8.318 0.0011596680 0.3542795720
297.09353 5.148 0.0011596680 0.4533935799
261.14835 12.903 0.0011596680 0.0000000000
279.11602 12.082 0.0011596680 0.2134357889
160.13313 0.929 0.0011596680 -0.3365423269
365.10535 5.437 0.0011596680 0.9847432127
207.14907 8.611 0.0011596680 0.2724702161
288.00378 4.675 0.0011596680 28.8178756060
440.22751 8.348 0.0015258789 0.9184495734
255.09499 7.907 0.0015258789 0.2262487946
384.12233 6.947 0.0015258789 -0.0353566947
159.05110 3.693 0.0015258789 0.4942756627
253.05434 6.017 0.0015258789 0.5117028538
296.95007 11.91 0.0015258789 -0.3102302084
259.18052 10.234 0.0020141602 -1.1978754731
119.52785 7.619 0.0020141602 -0.2545283417
118.05098 0.862 0.0020141602 0.4444373128
326.23230 10.263 0.0020141602 -2.1771017934
266.06696 10.05 0.0020141602 0.0000000000
80.97482 3.003 0.0020141602 0.0763343718
309.11905 9.619 0.0020141602 0.1163739640
269.12445 6.202 0.0026245117 -0.2850916645
335.19002 11.609 0.0026245117 0.3137708112
111.08028 10.089 0.0026245117 0.3381781254
213.12320 2.188 0.0026245117 0.4774761798
346.08652 8.44 0.0026245117 -0.6840578678
691.06024 9.046 0.0026245117 0.2179116491
209.06651 1.5 0.0026245117 -0.3167491360
389.16269 10.288 0.0033569336 0.2101706983
272.13379 2.368 0.0033569336 0.2605353181
640.16250 9.308 0.0033569336 0.2815979242
147.05113 9.687 0.0033569336 0.1127123271
260.16772 11.756 0.0033569336 -0.2276045671
191.06606 11.966 0.0033569336 0.1448948075
307.11093 11.428 0.0033569336 0.1277516893
257.11322 8.472 0.0033569336 0.0250645800
167.08539 12.572 0.0033569336 -1.0133876448
132.07667 1.015 0.0042724609 0.3054807923
363.16229 10.301 0.0042724609 0.2887994750
233.09932 6.804 0.0042724609 24.7051166757
230.08427 9.943 0.0042724609 0.0572207458
235.12873 7.948 0.0042724609 0.2961323590
338.11688 6.931 0.0042724609 -0.0243947442
305.22233 11.03 0.0042724609 0.2928369079
340.26912 12.54 0.0053710938 0.2554311331
147.11269 2.171 0.0053710938 0.2335609816
509.38014 12.432 0.0053710938 0.0641865551
150.05495 10.804 0.0053710938 0.1403949799
435.19839 11.83 0.0053710938 0.1040028225
323.19003 11.58 0.0067138672 0.1927105450
617.28564 8.799 0.0067138672 0.1749166367
416.35181 10.38 0.0067138672 -0.1160939051
189.13456 6.238 0.0067138672 0.3231130726
214.03322 0.96 0.0067138672 0.8066648464
208.06134 11.426 0.0067138672 -0.0491894106
91.05396 10.004 0.0067138672 0.0262493968
286.20103 9.535 0.0067138672 0.0000000000
174.04068 9.047 0.0067138672 0.3483505531
471.24462 10.798 0.0067138672 0.1074649022
323.14249 11.965 0.0083618164 0.1489985227
291.20673 10.714 0.0083618164 0.3838112862
153.06584 9.4 0.0083618164 0.0650735630
269.08780 10.595 0.0083618164 0.1152450990
241.15468 4.688 0.0083618164 -0.0920850257
158.09236 9.95 0.0083618164 0.0433524505
145.07600 10.718 0.0083618164 0.1065587591
237.08673 7.957 0.0083618164 0.0567016001
286.20099 9.676 0.0083618164 0.0000000000
145.07600 11.109 0.0083618164 0.1048995538
250.03838 8.012 0.0083618164 0.0818881217
276.14394 5.173 0.0102539062 0.2713404065
269.13839 11.789 0.0102539062 0.0111627888
160.84199 11.608 0.0102539062 0.1538396243
120.06550 0.875 0.0102539062 0.4163159321
695.42517 12.546 0.0102539062 0.3039906486
209.83377 4.275 0.0102539062 0.1367406135
279.11598 10.313 0.0102539062 -0.0984962021
88.11195 0.79 0.0102539062 0.6394540833
198.04960 1.023 0.0102539062 0.3111971523
289.06943 3.383 0.0102539062 0.0438597438
168.07661 2.356 0.0124511719 27.2809429891
212.11807 9.798 0.0124511719 0.8175054267
241.08692 11.965 0.0124511719 -25.5507588579
414.33618 10.38 0.0124511719 -0.2776018959
439.28392 12.663 0.0124511719 0.0000000000
175.11892 1.026 0.0124511719 0.1567323115
132.06535 4.662 0.0124511719 0.3006400198
131.04616 0.888 0.0124511719 0.2395620140
333.09137 11.511 0.0124511719 -0.1587398984
209.83365 4.953 0.0124511719 0.1076515713
272.16433 10.137 0.0124511719 0.2663320456
87.05520 0.896 0.0124511719 0.3733941980
131.08252 0.985 0.0124511719 0.2937908883
116.92850 12.983 0.0150756836 30.0361602252
282.11969 8.251 0.0150756836 0.0100483010
130.06211 1.029 0.0150756836 0.3819611935
450.01277 1.949 0.0150756836 0.5043508735
156.96584 6.254 0.0150756836 0.0622489848
305.09646 11.916 0.0150756836 -0.1086463916
386.29016 12.02 0.0150756836 0.0132790891
133.06070 0.894 0.0150756836 0.3545722416
147.11266 1.298 0.0150756836 0.2536197691
172.13321 4.594 0.0150756836 0.6431869135
188.06636 9.702 0.0150756836 0.0569079515
377.91489 4.919 0.0150756836 0.2958646234
178.08624 9.139 0.0150756836 -0.2981490209
348.98978 11.448 0.0150756836 0.1378399065
321.89751 4.849 0.0150756836 0.8327080991
237.12318 6.91 0.0150756836 -0.0654878232
206.02797 12.026 0.0180664062 0.2006383104
226.09353 10.051 0.0180664062 0.0485479111
110.54134 1.31 0.0180664062 -0.1270229944
322.12982 12.527 0.0180664062 0.2401555282
569.31421 11.238 0.0180664062 0.0436842140
441.19742 11.281 0.0180664062 0.1400961263
290.15961 6.066 0.0180664062 0.4391009974
278.17495 7.936 0.0180664062 -0.0425250002
155.15427 5.154 0.0180664062 -0.1271565290
421.20414 10.379 0.0180664062 0.3103021148
290.13862 11.042 0.0215454102 -0.0272014507
428.05961 8.554 0.0215454102 1.0823899472
340.13251 6.956 0.0215454102 0.0824689871
216.06872 8.046 0.0215454102 0.4492454299
352.16861 12.568 0.0215454102 0.0434431345
793.36499 8.806 0.0215454102 0.5098973811
204.05581 1.036 0.0215454102 0.2963158849
270.08905 11.955 0.0215454102 -0.0550151869
379.17993 11.998 0.0215454102 0.1164845390
217.11826 7.86 0.0215454102 0.2047059263
793.36467 9.087 0.0215454102 28.5954385741
360.99793 9.63 0.0215454102 0.0000000000
242.13058 8.916 0.0215454102 -0.0224242208
379.19346 9.538 0.0215454102 0.4164897110
358.25885 9.566 0.0215454102 -0.1554411353
300.20181 8.715 0.0215454102 0.0085764221
652.33835 11.955 0.0255737305 0.1119696187
325.20100 11.795 0.0255737305 0.0187098951
423.12576 9.396 0.0255737305 0.0971919119
90.05492 0.83 0.0255737305 0.2882915331
158.08099 7.879 0.0255737305 0.0923984517
106.04982 0.84 0.0255737305 0.2466099620
302.01923 4.916 0.0255737305 0.9779348954
290.13863 10.97 0.0255737305 -0.0269259081
287.10956 8.45 0.0255737305 0.1236792758
465.12645 12.602 0.0255737305 -0.3557958735
297.04541 6.041 0.0255737305 -0.0790283001
640.16271 9.119 0.0301513672 0.1567537193
133.08570 7.047 0.0301513672 0.9003733269
437.29077 11.98 0.0301513672 0.0665738022
219.19531 12.438 0.0301513672 -0.9965126758
307.24774 12.579 0.0301513672 -0.3872445972
356.27935 11.065 0.0301513672 -0.2452775241
196.09662 9.84 0.0301513672 0.0818972447
190.11859 1.167 0.0301513672 0.1793022239
203.01723 1.563 0.0301513672 -0.2187099853
255.04659 1.162 0.0301513672 0.3546350338
191.10249 10.256 0.0301513672 0.1616363646
167.09123 2.306 0.0353393555 -0.0890832288
190.15486 1.3 0.0353393555 -0.4651283779
228.12846 0.972 0.0353393555 -0.0524252289
99.09158 0.871 0.0353393555 0.2386806466
151.06264 11.301 0.0353393555 0.1439538818
353.16799 1.006 0.0353393555 0.2685178213
105.03673 2.076 0.0353393555 0.2876764492
333.14431 9.911 0.0353393555 -0.1131499400
507.57935 0.991 0.0353393555 0.2195290209
307.11091 10.806 0.0353393555 -0.0944171392
311.00842 7.066 0.0353393555 0.2147638304
361.18300 10.229 0.0353393555 0.2321669995
434.21735 8.685 0.0353393555 0.0679281249
281.07666 10.459 0.0412597656 -0.1140603646
371.12243 11.684 0.0412597656 0.1438984312
233.87537 2.909 0.0412597656 0.1408992146
665.37395 0.645 0.0412597656 0.1176094022
286.17993 9.975 0.0412597656 0.0366573570
154.06217 1.055 0.0412597656 0.2404824926
144.06298 0.713 0.0412597656 -0.1147256658
310.11444 1.452 0.0412597656 0.2227128362
186.11234 2.243 0.0412597656 0.7498383624
243.13377 10.443 0.0412597656 0.2866685848
399.49400 1.286 0.0412597656 2.0339807800
88.07557 0.874 0.0412597656 0.0594268520
209.83376 3.865 0.0412597656 0.0384342719
310.11444 1.459 0.0412597656 0.2249176424
360.23904 9.879 0.0412597656 0.1918321892
387.11466 5.628 0.0412597656 0.1897890347
289.15454 10.891 0.0479125977 0.2255968343
147.07632 5.289 0.0479125977 0.2821207407
229.91606 11.99 0.0479125977 0.1407219226
302.01938 5.534 0.0479125977 0.5386923650
203.05251 1.003 0.0479125977 0.2276593784
135.02986 1.549 0.0479125977 -0.1615023996
397.17136 10.833 0.0479125977 0.1948999381
203.05260 0.997 0.0479125977 0.2276593784
180.13815 10.712 0.0479125977 -0.0779812814
447.89196 1.202 0.0479125977 -0.1697377704
283.01366 7.055 0.0479125977 0.2247202319
738.44891 12.651 0.0553588867 0.1869346101
165.01160 11.331 0.0553588867 0.1522828969
185.12834 7.4 0.0553588867 -0.1665674948
161.09203 4.717 0.0553588867 0.5557807057
114.06612 1.012 0.0553588867 -0.2605223188
761.58417 12.508 0.0553588867 0.0000000000
508.08591 1.012 0.0553588867 -0.1137506362
162.07700 0.889 0.0553588867 -0.5172583000
157.14146 7.82 0.0553588867 0.0330499138
148.06036 0.977 0.0553588867 0.3127395050
88.04027 1.037 0.0553588867 0.2028630010
104.10691 0.751 0.0553588867 0.2687115075
331.17529 11.712 0.0553588867 0.0848952358
76.03924 0.818 0.0553588867 0.1912810320
158.04011 0.897 0.0553588867 -0.6074452686
445.11963 12.49 0.0553588867 -0.2823044464
93.07378 0.817 0.0553588867 0.0280116945
170.15375 8.756 0.0553588867 0.0641360488
168.07780 1.032 0.0553588867 0.5531785279
311.12905 0.991 0.0637207031 0.5674821303
349.60466 1.028 0.0637207031 0.1555155668
131.03477 0.991 0.0637207031 0.1882971694
113.02429 0.991 0.0637207031 0.2076517586
86.09628 1.047 0.0637207031 0.1986726926
388.25410 9.464 0.0637207031 -0.0123929015
756.24129 8.822 0.0637207031 0.0298463716
86.09634 1.065 0.0637207031 0.1994436620
101.02432 0.988 0.0637207031 0.1752836091
349.10883 0.973 0.0637207031 0.0887716114
388.25419 9.449 0.0637207031 -0.0057391764
276.19543 8.459 0.0637207031 0.0612062784
143.03486 0.991 0.0729980469 0.2192852126
206.10339 0.808 0.0729980469 -0.3205779962
143.03486 0.991 0.0729980469 0.2192852126
143.03485 0.992 0.0729980469 0.2192852126
178.05854 1.363 0.0729980469 0.5785811164
161.04543 0.992 0.0729980469 0.1500458048
131.54204 0.971 0.0729980469 0.2128158336
146.08114 0.943 0.0729980469 0.3230306845
416.28513 11.536 0.0729980469 -0.5918046371
191.06619 1.892 0.0729980469 0.1613375085
307.11085 12.348 0.0729980469 0.0992528876
311.00024 10.987 0.0729980469 -0.0148477370
272.20084 10.484 0.0729980469 0.0610853493
250.17998 6.152 0.0832519531 -0.0792330528
246.04396 9.126 0.0832519531 0.1710326204
305.14947 10.889 0.0832519531 0.1132669986
183.11264 6.732 0.0832519531 -0.0557049694
268.15443 8.687 0.0832519531 0.0000000000
311.15530 10.615 0.0832519531 0.0569050759
249.10805 2.365 0.0832519531 0.4536154490
439.68412 3.58 0.0832519531 0.1140536921
426.21209 8.442 0.0832519531 0.0427886199
783.81581 0.699 0.0832519531 0.2866935915
487.28036 11.49 0.0832519531 0.0298864368
233.10721 6.699 0.0832519531 -0.1263892656
278.19036 9.315 0.0832519531 -0.0258865650
317.14536 3.942 0.0832519531 0.1118093287
449.11725 0.993 0.0832519531 0.0881408738
258.15462 8.299 0.0832519531 0.0618849135
370.07339 6.623 0.0832519531 0.1780551886
176.06577 1.113 0.0832519531 0.0851777249
647.41104 12.469 0.0832519531 -0.1142051598
211.10753 8.605 0.0946044922 0.1690254809
705.32528 9.119 0.0946044922 0.9030375223
115.03881 4.262 0.0946044922 -0.1493931937
157.01166 1.778 0.0946044922 0.0915564149
209.10183 7.667 0.0946044922 0.1375375482
145.08582 10.901 0.0946044922 0.0000000000
297.98553 8.106 0.0946044922 0.1558355386
258.91571 10.016 0.0946044922 -0.0338096234
88.07559 0.78 0.0946044922 0.2704372054
356.24298 12.717 0.0946044922 0.1868583097
145.09707 0.931 0.0946044922 0.1529507957
257.02774 4.803 0.0946044922 0.0000000000
115.07521 4.193 0.0946044922 0.1215653460
156.07664 1.417 0.0946044922 0.1965759651
273.15962 10.88 0.0946044922 0.1922046473
199.03354 0.882 0.0946044922 0.0885549817
719.96772 12.469 0.0946044922 0.1635615036
134.04472 2.01 0.0946044922 0.4232207579
197.15340 12.767 0.0946044922 2.0346350554
173.10430 1.503 0.0946044922 0.2354951688
206.10331 0.816 0.0946044922 -0.3219010510
231.07733 11.943 0.1069946289 0.0972891228
210.05015 7.025 0.1069946289 0.1424746064
320.13331 1.017 0.1069946289 0.2293949359
225.06165 1.205 0.1069946289 0.1280404802
101.01674 5.642 0.1069946289 0.6233141864
210.05010 7.041 0.1069946289 0.1419836134
324.09111 12.039 0.1069946289 0.1116578678
310.20133 9.1 0.1069946289 -0.0301073845
119.03487 0.991 0.1069946289 0.1719184987
553.88232 12.299 0.1069946289 0.0987272809
116.07055 0.913 0.1069946289 0.4038812764
125.02431 1.208 0.1069946289 0.0790695557
220.11785 6.676 0.1069946289 -0.1162528357
197.80798 4.227 0.1069946289 0.0906231751
705.32525 9.166 0.1069946289 1.1977723949
242.02522 10.323 0.1069946289 0.0690633934
147.07643 0.914 0.1069946289 0.2970251058
412.30566 11.373 0.1069946289 0.1651917722
417.30441 12.205 0.1069946289 -0.5630184518
120.08070 7.05 0.1069946289 0.1750789809
508.01346 5.713 0.1069946289 0.0680983632
179.05488 1.986 0.1205444336 0.1767406126
146.96114 0.743 0.1205444336 -0.1440923036
207.14903 10.244 0.1205444336 0.0444981171
427.09502 6.181 0.1205444336 0.1244062156
233.16465 9.864 0.1205444336 0.1320460161
72.08071 0.917 0.1205444336 0.2840642438
102.12759 12.537 0.1205444336 -29.0321116367
163.06002 1.001 0.1205444336 0.1819341433
168.09294 7.024 0.1205444336 0.1595308311
305.06317 10.048 0.1205444336 0.0245069069
440.02592 5.068 0.1205444336 0.0398030956
172.20593 8.813 0.1205444336 0.0655569288
143.10651 6.511 0.1205444336 -0.0926313547
437.93057 3.589 0.1205444336 0.0645916506
239.14878 8.324 0.1205444336 -0.1160943338
160.13321 5.706 0.1205444336 -0.3409535298
95.01369 0.988 0.1205444336 0.1485168875
209.06660 1.251 0.1205444336 -0.2023079114
263.17526 10.779 0.1205444336 0.0996996330
104.03526 0.832 0.1205444336 0.1825646231
104.07053 0.875 0.1205444336 0.4031310124
208.10014 4.098 0.1205444336 0.0269660633
275.21163 9.852 0.1205444336 0.2128084148
127.03885 1.001 0.1205444336 0.1811094996
289.06771 9.654 0.1205444336 -2.2797485938
285.97708 9.15 0.1205444336 0.0301759175
162.07594 1.02 0.1353759766 0.2269656911
213.03271 11.009 0.1353759766 0.0409320076
385.90170 1.566 0.1353759766 -0.0908662816
195.05086 2.523 0.1353759766 0.1718027537
149.04539 1.234 0.1353759766 0.2411874196
271.09953 11.391 0.1353759766 0.0328001615
239.12775 12.444 0.1353759766 -0.0361356757
102.95674 5.952 0.1353759766 0.0837464434
642.31799 0.711 0.1353759766 0.0613370112
209.03017 5.657 0.1353759766 0.1850913879
