"m.z" "r.t" "p.value" "t.score"
101.01674 5.642 0.0002441406 0.4085448723
307.11091 10.806 0.0002441406 -0.0898907526
174.12357 5.985 0.0002441406 0.5195990274
119.52785 7.619 0.0002441406 -0.3005838558
233.12847 10.953 0.0002441406 0.0917371599
506.20748 7.308 0.0002441406 1.8904712919
174.14874 8.541 0.0002441406 0.0000000000
329.08807 11.946 0.0012207031 0.1786555106
295.07913 5.605 0.0012207031 0.1165832831
264.12424 11.817 0.0004882812 0.6325772358
210.05015 7.025 0.0012207031 -0.1480847267
155.15427 5.154 0.0012207031 -0.1715447126
191.99763 10.928 0.0012207031 0.5686632479
348.10080 8.211 0.0012207031 -27.5450590384
116.92850 12.983 0.0012207031 0.9773472834
321.89751 4.849 0.0007324219 0.4853575192
450.01277 1.949 0.0012207031 0.4081891306
210.05010 7.041 0.0012207031 -0.1480775998
165.06909 3.268 0.0012207031 -0.0914073870
263.12129 11.682 0.0007324219 0.8012601219
196.09662 9.84 0.0012207031 0.0848582747
256.01510 9.976 0.0004882812 -0.1461817803
387.28674 11.884 0.0012207031 -0.0998148027
287.07730 9.604 0.0007324219 0.2062856090
412.19637 8.44 0.0017089844 -0.1082182722
297.09353 5.148 0.0017089844 0.3584204840
279.11602 12.082 0.0017089844 0.2046778943
111.52172 12.498 0.0017089844 -0.8094075934
445.81506 12.734 0.0017089844 0.0000000000
289.15454 10.891 0.0017089844 0.2002733473
253.09279 5.964 0.0017089844 0.4961795577
275.21163 9.852 0.0024414062 0.1861084257
465.12645 12.602 0.0024414062 -0.7698021647
186.11247 5.226 0.0024414062 0.0625332507
172.09674 10.106 0.0024414062 0.8893038734
245.16055 5.096 0.0024414062 -0.0829568145
286.20103 9.535 0.0024414062 0.9867958149
360.02505 8.292 0.0024414062 -0.1500804903
242.13058 8.916 0.0024414062 -0.0237922025
154.12262 4.195 0.0024414062 0.0908016760
371.17238 10.818 0.0024414062 0.3159591807
277.15562 9.231 0.0034179688 0.0999663633
328.24829 9.581 0.0034179688 -0.0816121367
209.03017 5.657 0.0034179688 0.8331014198
211.10753 8.605 0.0034179688 0.1217906438
170.11762 6.354 0.0034179688 0.0651094357
253.11829 6.707 0.0034179688 -0.0770706554
384.12233 6.947 0.0034179688 -0.0178382266
286.20099 9.676 0.0034179688 0.9860743996
508.01346 5.713 0.0034179688 0.1107079018
310.11444 1.452 0.0046386719 0.1406554313
233.16465 9.864 0.0046386719 0.1261279516
345.07263 11.048 0.0046386719 0.2706895063
261.18080 11.062 0.0046386719 2.5500763985
445.07303 5.714 0.0046386719 0.1213799865
182.10223 1.084 0.0046386719 -0.3321876330
343.12322 5.46 0.0046386719 0.5355193953
221.15347 12.88 0.0046386719 -0.4209695347
305.22233 11.03 0.0046386719 0.2068334735
310.11444 1.459 0.0046386719 0.1420131520
160.84199 11.608 0.0061035156 0.0769572960
338.11688 6.931 0.0061035156 -0.0173384243
515.56788 1.001 0.0061035156 -0.2634820654
417.30441 12.205 0.0061035156 -0.3222817862
326.23230 10.263 0.0061035156 -27.0529441169
158.11745 10.092 0.0080566406 0.7641637483
290.13863 10.97 0.0080566406 -0.3381945661
290.13862 11.042 0.0080566406 -0.5159779393
219.13381 10.095 0.0080566406 1.4589428585
208.10014 4.098 0.0080566406 -0.0314763568
311.00842 7.066 0.0080566406 -0.2921392900
208.09662 10.549 0.0080566406 0.1172333772
167.08539 12.572 0.0080566406 -3.0459489927
328.10279 10.232 0.0080566406 -0.0786818215
289.22728 9.974 0.0104980469 0.4943862806
386.29016 12.02 0.0104980469 -0.0271659160
307.16514 10.397 0.0104980469 0.1731417713
146.08105 6.033 0.0104980469 0.2133878537
335.22869 10.076 0.0104980469 0.8658454715
228.07861 8.707 0.0104980469 -0.0088138039
291.20673 10.714 0.0104980469 0.2848820190
346.08652 8.44 0.0104980469 -1.1435379322
220.98079 11.494 0.0104980469 -0.0414730706
432.27996 10.695 0.0104980469 -28.3741565299
348.89496 2.036 0.0104980469 0.0300634709
283.01366 7.055 0.0104980469 -0.1587524296
407.18846 10.548 0.0104980469 0.5585108440
241.08692 11.965 0.0104980469 0.0000000000
110.54134 1.31 0.0104980469 0.1108772877
307.11092 12.054 0.0134277344 -0.6619277035
133.08570 7.047 0.0134277344 0.3315227948
307.24774 12.579 0.0134277344 -0.4526232174
464.08922 11.123 0.0134277344 -0.1883535193
459.28007 10.076 0.0134277344 -0.0147549118
219.07628 10.787 0.0134277344 -0.2594204406
231.17020 3.973 0.0134277344 -0.0943391420
187.08647 12.053 0.0134277344 0.1587994660
268.15443 8.687 0.0170898438 0.0000000000
255.09499 7.907 0.0170898438 0.1913395556
205.12233 10.874 0.0170898438 -0.0852472580
176.12800 11.055 0.0170898438 0.9179726698
207.12252 10.344 0.0170898438 0.5256685936
572.35541 12.497 0.0170898438 1.2899016100
345.07272 11.44 0.0170898438 0.0849577672
243.13377 10.443 0.0170898438 0.3017715673
147.05113 9.687 0.0170898438 0.1010271392
237.08701 10.015 0.0170898438 -0.0976446417
262.18017 8.577 0.0170898438 -0.0503589954
