"m.z" "r.t" "p.value" "t.score"
672.85934 0.671 0.0156250000 -0.2479074280
258.91571 10.016 0.0156250000 -0.0424535472
695.42517 12.546 0.0156250000 0.2136399577
305.22233 11.03 0.0156250000 0.1878231699
104.07053 0.875 0.0156250000 0.2776086528
738.44891 12.651 0.0156250000 0.1611699916
257.11322 8.472 0.0156250000 0.0187182582
185.11830 12.558 0.0156250000 -0.1925917334
346.08652 8.44 0.0156250000 -0.2035890496
427.21881 10.726 0.0156250000 -0.1739473323
567.39009 0.618 0.0156250000 -0.2771871635
209.83376 3.865 0.0156250000 -0.1353713100
289.22728 9.974 0.0156250000 0.2691853843
197.80798 4.227 0.0156250000 -0.4117335333
290.15961 6.066 0.0156250000 0.8212211473
324.99643 2.073 0.0156250000 0.3430264175
159.05110 3.693 0.0156250000 0.5651515679
705.82720 8.883 0.0156250000 0.1241465377
316.04492 9.022 0.0156250000 0.1741141025
437.21277 12.146 0.0156250000 0.1499109207
105.05448 1.968 0.0156250000 2.6817331509
263.12129 11.682 0.0156250000 0.3350040522
80.97482 3.003 0.0156250000 -0.1910784911
315.04150 8.971 0.0156250000 0.1816671479
187.08647 12.053 0.0156250000 0.1238188924
200.54568 1.004 0.0156250000 -0.3189027546
515.56788 1.001 0.0156250000 -0.3058066861
188.94916 1.43 0.0156250000 0.0960430011
229.56251 1.002 0.0156250000 -0.3618256553
275.05621 0.754 0.0156250000 -0.0501343587
279.11602 12.082 0.0156250000 0.1134007200
113.03078 1.938 0.0156250000 2.2758449825
347.84913 2.085 0.0156250000 0.3496266757
583.15175 9.301 0.0156250000 0.4647100562
348.89496 2.036 0.0156250000 0.0326333091
275.21163 9.852 0.0156250000 0.1171759573
173.10430 1.503 0.0156250000 -0.4628445313
412.30566 11.373 0.0156250000 0.3667696914
199.96928 8.234 0.0156250000 -0.0970996935
188.94906 1.465 0.0156250000 0.1062963677
449.11725 0.993 0.0156250000 -0.1224487792
176.12800 11.055 0.0156250000 0.4551310422
265.11811 10.779 0.0156250000 0.0000000000
261.18080 11.062 0.0156250000 0.2497058011
255.82197 4.751 0.0156250000 -0.5361704685
87.04396 1.983 0.0156250000 1.6261992613
264.09794 10.479 0.0156250000 -0.2191967960
264.12424 11.817 0.0156250000 0.3011409741
204.12289 1.12 0.0156250000 0.8335200560
103.04006 2.128 0.0156250000 1.1974916092
307.14011 10.363 0.0156250000 -0.1572277308
112.98560 0.672 0.0156250000 -0.1417760809
88.07559 0.78 0.0156250000 -0.7262435101
168.07780 1.032 0.0156250000 -0.1420631691
305.09646 11.916 0.0156250000 -0.1149228137
387.28674 11.884 0.0156250000 -0.0711760035
75.00862 7.446 0.0156250000 -0.4139100935
248.96050 0.661 0.0156250000 -0.1466907012
272.20084 10.484 0.0156250000 0.0476611735
307.11093 11.428 0.0156250000 0.1294200970
209.06660 1.251 0.0156250000 -0.3079605276
706.32819 8.954 0.0156250000 0.3840143452
508.08591 1.012 0.0156250000 -0.1479305599
113.03080 1.937 0.0156250000 1.6193849150
255.13494 9.538 0.0156250000 0.1617364977
209.83377 4.275 0.0156250000 -0.1961292429
328.16675 10.866 0.0156250000 0.0723209021
288.00378 4.675 0.0156250000 0.7420858383
258.15450 8.641 0.0156250000 -1.1426485654
276.10116 7.893 0.0156250000 0.6595570920
162.83902 11.979 0.0156250000 -0.1316527828
450.01277 1.949 0.0156250000 0.9064029130
228.99405 11.33 0.0156250000 -0.5769990279
439.28392 12.663 0.0156250000 1.2488876781
302.01923 4.916 0.0156250000 0.3577789456
382.34265 11.093 0.0156250000 0.1652804177
85.02833 1.167 0.0312500000 -0.2178052431
226.09353 10.051 0.0312500000 0.1015433543
236.58849 1.017 0.0312500000 -0.1643902822
243.13377 10.443 0.0312500000 0.2427984048
233.00668 11.007 0.0312500000 0.2686629361
229.05791 5.313 0.0312500000 0.1441186238
342.26364 10.588 0.0312500000 0.4953261437
154.06217 1.055 0.0312500000 -0.2959494450
557.34613 12.217 0.0312500000 0.1296897279
307.11085 12.348 0.0312500000 0.0742955646
139.03992 10.477 0.0312500000 0.1116576133
635.06932 10.199 0.0312500000 0.0890969099
307.16514 10.397 0.0312500000 0.1945600752
258.10995 0.974 0.0312500000 -0.9439051624
291.20673 10.714 0.0312500000 0.1650222490
128.95069 2.586 0.0312500000 0.2976518108
344.20657 10.379 0.0312500000 0.2061401690
348.10080 8.211 0.0312500000 0.0000000000
88.07557 0.874 0.0312500000 0.1993532352
101.07077 0.99 0.0312500000 -0.2797315139
694.92303 12.344 0.0312500000 0.0979444372
447.89196 1.202 0.0312500000 -0.2202653908
407.18846 10.548 0.0312500000 0.3283037006
371.17238 10.818 0.0312500000 0.1291680770
149.08072 5.991 0.0312500000 0.4627862855
604.13812 8.48 0.0312500000 0.5472735017
229.56254 1.202 0.0312500000 -0.3344872761
203.01723 1.563 0.0312500000 -0.3728164940
117.09095 7.027 0.0312500000 -0.0365257404
269.08780 10.595 0.0312500000 0.1073827090
302.01938 5.534 0.0312500000 0.4682967749
756.24129 8.822 0.0312500000 0.3381216359
328.24829 9.581 0.0312500000 0.2228145025
316.94798 0.643 0.0312500000 -0.2021795284
169.97727 2.61 0.0312500000 0.3698430577
453.18585 12.336 0.0312500000 0.1053944691
322.12982 12.527 0.0312500000 0.1288685016
86.05991 1.918 0.0312500000 -0.3902973845
398.32649 11.304 0.0312500000 1.4126418778
463.48311 1.347 0.0312500000 -0.3687345685
233.16465 9.864 0.0312500000 0.0919938781
572.35541 12.497 0.0312500000 0.2326805876
518.83193 1.289 0.0312500000 -0.0863382177
261.12341 10.988 0.0312500000 -0.3386371523
309.12663 11.904 0.0312500000 0.1365573459
349.08928 10.373 0.0312500000 0.1976398737
146.96129 2.582 0.0312500000 0.5090853950
276.14394 5.173 0.0312500000 0.3818976067
259.09244 5.411 0.0468750000 0.6825305877
165.11209 5.944 0.0468750000 -0.2361336807
196.14204 0.68 0.0468750000 -0.0360661451
281.07666 10.459 0.0468750000 -0.2868172730
297.09353 5.148 0.0468750000 0.1967528113
665.37395 0.645 0.0468750000 -0.5763456554
277.11832 10.94 0.0468750000 -0.2652733413
177.10207 3.9 0.0468750000 0.0393107699
690.50885 12.897 0.0468750000 0.1225891363
145.12218 6.4 0.0468750000 -28.3611651981
449.30468 12.874 0.0468750000 0.1114548481
213.12320 2.188 0.0468750000 0.2119762719
278.17495 7.936 0.0468750000 -0.0300119759
203.04007 4.18 0.0468750000 0.5387553257
171.02739 2.092 0.0468750000 0.9642911777
365.10535 5.437 0.0468750000 0.2618066311
719.96772 12.469 0.0468750000 0.0917429781
553.88232 12.299 0.0468750000 0.1163103387
548.29046 12.305 0.0468750000 0.1117879994
111.02004 12.395 0.0468750000 0.3184755702
168.07661 2.356 0.0468750000 0.6605734147
487.62840 3.778 0.0468750000 -0.7286705727
241.08692 11.965 0.0468750000 -0.4620358503
317.14536 3.942 0.0468750000 0.0652813879
125.87298 8.404 0.0468750000 -0.1489833580
226.95144 0.643 0.0468750000 -0.2246060084
640.16271 9.119 0.0468750000 0.3599946943
390.87042 6.254 0.0468750000 0.5761706303
101.02432 0.988 0.0468750000 -0.1215516595
101.01674 5.642 0.0468750000 0.3967172346
793.36467 9.087 0.0468750000 0.7909032836
212.11807 9.798 0.0468750000 0.3656414517
129.06569 0.987 0.0468750000 -0.5043051783
321.13092 8.71 0.0468750000 -0.0257166240
228.99393 11.618 0.0468750000 -0.2700589527
451.21470 10.875 0.0468750000 0.1412134062
256.16943 9.741 0.0468750000 0.1248726417
207.12252 10.344 0.0468750000 0.3705212393
286.20103 9.535 0.0468750000 0.3441678695
253.05434 6.017 0.0468750000 0.2700056287
396.31046 11.517 0.0468750000 0.4418266269
440.22751 8.348 0.0468750000 0.1046390656
83.03866 0.637 0.0468750000 0.0832105347
179.05607 7.974 0.0468750000 -0.3814657448
144.10184 1.135 0.0468750000 0.2110133266
135.02986 1.549 0.0468750000 -0.2504237529
204.12297 0.92 0.0468750000 0.8644824236
318.22760 10.422 0.0468750000 0.0217705912
191.99763 10.928 0.0468750000 0.3693212924
231.93167 11.489 0.0468750000 0.2727119307
437.23540 10.424 0.0781250000 0.1371981109
345.07263 11.048 0.0781250000 0.0780671615
490.28535 11.201 0.0781250000 1.7920345566
289.06771 9.654 0.0781250000 -27.7488383903
286.20099 9.676 0.0781250000 0.3140610675
202.01221 0.86 0.0781250000 0.2627014177
196.09662 9.84 0.0781250000 0.0466234088
264.19561 6.634 0.0781250000 0.0000000000
330.91568 12.664 0.0781250000 0.0890054610
165.04176 12.772 0.0781250000 -0.1207903919
242.02522 10.323 0.0781250000 0.3314708251
203.05260 0.997 0.0781250000 -0.1739884753
322.94348 10.845 0.0781250000 -0.0409785699
551.22772 8.55 0.0781250000 0.6673973798
